"Language
","Intended use
","Imperative
","Object-oriented
","Functional
","Procedural
","Generic
","Reflective
","Event-driven
","Other paradigm(s)
","Standardized?
"
"LiveCode
","Application, RAD, general
","
","Yes
","
","
","
","
","Yes
","weakly typed
","No
"
"Logtalk
","Artificial intelligence, application
","
","Yes
","
","
","
","Yes
","Yes
","logic
","No
"
"LSL
","Virtual worlds content scripting and animation
","Yes
","
","
","Yes
","
","
","Yes
","Scripts exist in in-world objects
","Maybe[31]
"
"Lua
","Application, embedded scripting
","Yes
","Yes[32]
","Yes
","Yes
","
","Yes
","
","aspect-oriented, prototype-based
","No[33]
"
"Maple
","Symbolic computation, numerical computing
","Yes
","Yes
","Yes
","Yes
","
","
","
","distributed
","No
"
"Mathematica
","Symbolic language
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","logic, distributed
","No
"
"MATLAB
","Highly domain-specific, numerical computing
","Yes
","Yes
","
","Yes
","
","
","
","
","No
"
"Modula-2
","Application, system
","Yes
","
","
","
","Yes
","
","
","
","1996, ISO[34]
"
"Modula-3
","Application
","Yes
","Yes
","
","
","Yes
","
","
","
","No
"
"MUMPS (M)
","Application, databases
","Yes
","
","
","Yes
","
","
","
","concurrent, multi-user, NoSQL, transaction processing
","1977, ANSI
"
"Nim
","Application, general, web, scripting, system
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","
","multiple dispatch, Concurrent, meta
","No
"
"Oberon
","Application, system
","Yes
","Yes
","
","
","
","
","
","
","No
"
"Object Pascal
","Application, general, mobile app, web
","Yes
","Yes
","
","Yes
","Yes
","Yes
","Yes
","structured
","No
"
"Objective-C
","Application, general
","Yes
","Yes
","
","Yes
","
","Yes
","
","concurrent
","No
"
"OCaml
","Application, general
","Yes
","Yes
","Yes
","Yes
","Yes
","
","
","
","No
"
"Occam
","General
","Yes
","
","
","Yes
","
","
","
","concurrent, process-oriented
","No
"
"Opa
","Web applications
","Yes
","
","Yes
","
","Yes
","
","
","distributed
","No
"
"OpenLisp
","General, Embedded Lisp Engine
","Yes
","Yes
","Yes
","
","Yes
","
","
","
","Supersedes ISLISP, ISO
"
"Oxygene
","Application
","Yes
","Yes
","
","
","Yes
","
","
","
","No
"
"Oz-Mozart
","Application, distribution, education
","Yes
","Yes
","Yes
","
","
","
","
","concurrent, logic
","No
"
"Pascal
","Application, education
","Yes
","
","
","Yes
","
","
","
","
","1983, ISO[35]
"
"Perl
","Application, scripting, text processing, Web
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","
","
","No
"
"PHP
","Server-side, web application, web
","Yes
","Yes[36]
","Yes[37]
","Yes
","
","Yes
","
","
","""De facto"" standard via language specification and Requests for Comments (RFCs)
"
"PL/I
","Application
","Yes
","Yes
","
","Yes
","
","
","
","
","1969, ECMA-50 (1976)
"
"Plus
","Application, system development
","Yes
","
","
","Yes
","
","
","
","
","No
"
"PostScript
","Graphics, page description
","Yes
","
","
","Yes
","
","
","
","
concatenative, stack-oriented

","Yes, as the PostScript Reference Manual[38]
"
"PowerShell
","Administration, application, general, scripting
","Yes
","Yes
","Yes
","Yes
","
","Yes
","
","pipeline
","No
"
"Prolog
","Application, artificial intelligence
","
","
","Yes
","Yes
","
","Yes
","
","logic, declarative
","1995, ISO/IEC 13211-1:1995, TC1 2007, TC2 2012, TC3 2017
"
"PureBasic
","Application
","
","
","
","Yes
","
","
","
","
","No
"
"Python
","Application, general, web, scripting, artificial intelligence, scientific computing
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","aspect-oriented
","""De facto"" standard via Python Enhancement Proposals (PEPs)
"
"R
","Application, statistics
","Yes
","Yes
","Yes
","Yes
","
","Yes
","
","
","No
"
"Racket
","Education, general, scripting
","
","Yes
","Yes
","Yes
","
","Yes
","
","modular, logic, meta
","No
"
"Raku
","Scripting, text processing, glue
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","
","aspect-oriented, array, lazy evaluation, multiple dispatch, metaprogramming
","Yes
"
"REALbasic
","Application
","
","
","
","Yes
","
","
","
","
","Un­known
"
"Rebol
","Distributed
","Yes
","Yes
","Yes
","Yes
","
","Yes
","Yes
","dialected
","No
"
"REXX
","Scripting
","Yes
","Yes (NetRexx and Object REXX dialects)
","No
","Yes
","
","No
","No
","
","1996 (ANSI X3.274-1996)
"
"RPG
","Application, system
","Yes
","
","
","Yes
","
","
","
","
","No
"
"Ruby
","Application, scripting, web
","Yes
","Yes
","Yes
","
","
","Yes
","
","aspect-oriented
","2011(JIS X 3017), 2012(ISO/IEC 30170)
"
"Rust
","Application, server-side, system, web
","Yes
","Yes[39]
","Yes
","Yes
","Yes
","No[40]
","Yes
","concurrent
","No
"
"S
","Application, statistics
","Yes
","Yes
","Yes
","Yes
","
","
","
","
","No
"
"S-Lang
","Application, numerical, scripting
","Yes
","
","
","Yes
","
","
","
","
","No
"
"Scala
","Application, distributed, web
","Yes
","Yes
","Yes
","
","Yes
","Yes
","Yes
","
","De facto standard via Scala Language Specification (SLS)
"
"Scheme
","Education, general
","
","
","Yes
","
","
","
","
","extensible syntax
","1998, R6RS
"
"Seed7
","Application, general, scripting, web
","Yes
","Yes
","
","
","Yes
","Yes
","
","multi-paradigm, extensible, structured
","No
"
"Simula
","Education, general
","Yes
","Yes
","
","
","
","
","Yes
","discrete event simulation, multi-threaded (quasi-parallel) program execution
","1968
"
"Small Basic
","Application, education, games
","Yes
","
","
","
","
","
","Yes
","component-oriented
","No
"
"Smalltalk
","Application, general, business, artificial intelligence, education, web
","Yes
","Yes
","Yes
","Yes
","
","Yes
","Yes
","concurrent, declarative
","1998, ANSI
"
"SNOBOL
","Text processing
","
","
","
","
","
","
","
","
","Un­known
"
"Standard ML
","Application
","Yes
","
","Yes
","
","Yes
","
","
","
","1997, SML '97[41]
"
"Swift
","Application, general
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","concurrent, declarative, protocol-oriented
","No
"
"Tcl
","Application, scripting, web
","Yes
","Yes
","Yes
","Yes
","
","Yes
","Yes
","
","No
"
"Visual Basic
","Application, RAD, education, business, general, (Includes VBA), office automation
","Yes
","Yes
","
","
","Yes
","
","Yes
","component-oriented
","No
"
"Visual Basic .NET
","Application, RAD, education, web, business, general
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","structured, concurrent
","No
"
"Visual FoxPro
","Application
","
","Yes
","
","
","
","
","
","data-centric, logic
","No
"
"Visual Prolog
","Application
","Yes
","Yes
","Yes
","
","
","
","Yes
","declarative, logic
","No
"
"Wolfram Language
","Symbolic language
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","logic, distributed
","No
"
"XL
","
","Yes
","Yes
","
","
","
","
","
","concept programming
","No
"
"Xojo
","Application, RAD, general, web
","Yes
","Yes
","
","Yes
","
","Yes
","Yes
","
","No
"
"XPath/XQuery
","Databases, data processing, scripting
","
","
","Yes
","
","
","
","
","tree-oriented
","W3C 1999 XPath 1, 2010 XQuery 1, 2014 XPath/XQuery 3.0
"
"Zsh
","Shell, scripting
","Yes
","
","
","Yes
","
","
","
","loadable modules
","No
"
