text,language
Geleenthede gaan by mense verby omdat dit ‘n oorpak aan het en na werk lyk!!!,Afrikaans
Below the salt,English
Get a word in edgeways,English
First water,English
Going for a burton,English
Chinless wonder,English
Call of the wild - The,English
Fight fire with fire,English
Generation X,English
Heavy metal,English
Dit is met geen goud te betaal nie.,Afrikaans
Davy Jones' locker,English
In die gras byt.,Afrikaans
Vanaand braai ons weer ‘n slag skaalvleis!,Afrikaans
Hoity-toity,English
A fool's paradise,English
Card-sharp,English
Shakespeare (phrases and sayings of),English
Usual suspects - The,English
Amber nectar,English
Cotton on to,English
"Wanneer die moeilikheid so groot soos ‘n berg is, klim die wyse bo-oor. Die dwaas graaf ‘n tonnel onderdeur en bly binne vassteek. Die lafaard draai om.",Afrikaans
Crocodile tears,English
Die mannetjie kwyl agter rok-goed aan.,Afrikaans
,Afrikaans
Where there's muck there's brass,English
Piggyback,English
Savoir faire,English
In spades,English
By die verkeerde boom blaf.,Afrikaans
Man does not live by bread alone,English
"‘n Mens moet onthou WIE die tafel gedek het, WIE die kos voorberei het.",Afrikaans
"Broke - if it ain't, don't fix it",English
Jobs for the boys,English
Red in tooth and claw,English
Put the mockers on,English
What's not to like?,English
‘n Blaadjie uit iemand se boek neem.,Afrikaans
Op die koop toe.,Afrikaans
(It) fell off the back of a truck,English
Cookie cutter,English
Hard hearted,English
Bill Stickers is innocent,English
Carbon footprint,English
Geld wat sleg is maak krom wat reg is.,Afrikaans
Die rol van Ma-wees is moontlik die belangriste beroep wat enige vrou kan be-oefen.,Afrikaans
Ankle biter,English
‘n Mens kan met ‘n bokwa en ‘n lang span osse daarin draai.,Afrikaans
Cold shoulder,English
"If you can't stand the heat, get out of the kitchen",English
A house divided against itself cannot stand,English
History is bunk,English
A stone's throw,English
Season of mists and mellow fruitfulness,English
Mumbo jumbo,English
Gone for a burton,English
"Die grootste diens wat aan enige land  bewys kan word, is om ‘n nuttige plant tot sy landboukultuur toe te voeg.",Afrikaans
,Afrikaans
Flavor of the month,English
Hulle breek nie brandhout van dieselfde tak nie.,Afrikaans
Nice as ninepence,English
Game of two halves,English
Take umbrage,English
Fathom out,English
"Iets wat bietjie goed is, is nie goed genoeg nie. Matigheid in humeur is altyd ‘n deug, maar matigheid in beginsel, is altyd ‘n ondeug.",Afrikaans
Blast from the past - A,English
Eye candy - see ear candy,English
Twee vliegen in één klap slaan.,Nederlands
Sy tand koggel hom.,Afrikaans
"Celeste Herman: “‘n Mooi uiterlike vang die oog vir ‘n wyle, maar ‘n mooi innerlike word ‘n leeftyd deur die hart vasgevang.”",Afrikaans
Ek is Piet Verdriet op Moedverloor se vlakte vandag.,Afrikaans
Camera cannot lie - The,English
Beauty is in the eye of the beholder,English
Adam's ale,English
,English
"Makkelijker gezegd, dan gedaan.",Nederlands
"As jyself dink en doen, is jy beperk tot jouself. As jy LEES en DINK en DOEN, is die wye wêreld jou helper.",Afrikaans
Up to snuff,English
Prick up your ears,English
Gung ho,English
"Et tu, Brute",English
Rosie Lea,English
Dit is die klein botteltjies wat die groot gif het.,Afrikaans
Cut off your nose to spite your face,English
Jump the shark,English
“Byt jy weer borrels.”  – ingestuur deur Lödveteig Nan,Afrikaans
Ends of the earth - The,English
Baker's dozen,English
Chit-chat,English
Een gegeven paard moet je niet in de bek kijken.,Nederlands
Long in the tooth,English
My bad,English
Hy dink hy kan biltong saamneem.,Afrikaans
Bone up on,English
Stool pigeon,English
White as snow,English
Carte blanche,English
"Pasop! Wat jy met jou hande opbou, moet jy nie met jou agterent omstamp nie.",Afrikaans
About turn,English
Beter voorkomen dan genezen.,Nederlands
Geduld is ‘n stadige manier om jou moer te strip.,Afrikaans
Jack - phrases that include the name Jack,English
Hard lines,English
Tail wagging the dog - The,English
Pester power,English
"Hoe beter man jy is, hoe jammerder is dit van die fout wat jy het. Dis op die wit papier wat die swart klad duidelik wys.",Afrikaans
Soort zoekt soort.,Nederlands
Bowled a maiden over,English
Stump up,English
Khyber pass,English
Twee mossies vir ‘n stuiwer.,Afrikaans
Hy is ‘n ongeslypte diamant.,Afrikaans
Crack of doom - The,English
Nip and tuck,English
Montezuma's Revenge,English
Nine days' wonder,English
,Afrikaans
Lick into shape,English
So maklik soos brood en botter.,Afrikaans
According to Hoyle,English
Piece of the action,English
A legend in one's own lifetime,English
It's better to give than to receive,English
"Selfs in my oupa-grootjie se tyd, was daar iets wat jou aan die slaap kon kry. Hulle het dit werk genoem….",Afrikaans
Politically correct,English
Under your hat - Keep it,English
I'll have your guts for garters,English
Kiss and tell,English
Go the whole hog,English
"‘n Man kan nog per ongeluk op jou tone trap, maar as hy op jou kop trap, is dit moedswillig.",Afrikaans
The Devil to pay,English
Play by ear,English
Fruits of your loins,English
Proverbs - A list of,English
Bed of roses,English
Gilt off the gingerbread,English
Cordon bleu,English
Last straw - The,English
Sorry sight,English
All in all,English
What's in a name? That which we call a rose by any other name would smell as sweet,English
"Hoe dieper ik poog te delven, hoe meer ik bederf ontmoet.",Afrikaans
Multitude of sins,English
Shit end of the stick - The,English
Stick in the mud,English
The jury is still out,English
Hy laat hom nie met blou ertjies op loop jaag nie.,Afrikaans
"To be or not to be, that is the question",English
Langnek-Kaatjie soen.,Afrikaans
It's not rocket science,English
Al die paaie lei na Rome en die kronkelpaaie na ons drome.,Afrikaans
Apple of my eye - The,English
The best laid schemes of mice and men,English
Big Apple - The,English
Keepy-uppy,English
Dit kom nog uit Noag se ark saam met Metusalem.,Afrikaans
"Om elke dag te lewe asof dit jou laaste is – nooit oorhaastig nie, nooit ongevoelig nie, nooit met aansit nie – dit is die perfekte karakter.",Afrikaans
Faint-hearted,English
Push the boat out,English
More honoured in the breach than in the observance,English
Mad as a hatter,English
Point to point,English
Bewaar jou gebeente!,Afrikaans
Folk Etymology - The Nonsense Nine,English
Ek is nou die baas en jy is Klaas met ou Hansie die kneg.,Afrikaans
Rat arsed,English
"“Die koringkorrels sjor op die dorsvloer neer.” – Boerneef, Boplaas",Afrikaans
Piping hot,English
Jump on the bandwagon,English
"Hasta la vista, baby",English
Let the cat out of the bag,English
Jack in the box,English
Go to the dogs,English
Mutt's nuts - The,English
Devil take the hindmost - The,English
Brass tacks - get down to,English
Daar is geen opregter liefde as die liefde vir kos nie.,Afrikaans
Caught red-handed,English
"U straf is te swaar vir my op aarde. Jy sal word ‘n doellose swerwer op aarde, jou handewerk sal vervloek wees. Die aarde wat jy bewerk sal niks oplewer nie.",Afrikaans
Powers that be - The,English
Die wonder van ‘n nuwe oggend is dat dit ons die geleentheid gee om VOOR TE BEGIN!,Afrikaans
"As jy by iemand se vuur gaan sit, moet jy eers kyk van watter kant die wind waai.",Afrikaans
Mother country,English
Iemand afkam.,Afrikaans
Cut to the chase,English
Household words,English
Help jou buurman om sy las te dra en jy sal jou verwonder hoveel ligter jou eie word.,Afrikaans
Third time lucky,English
Derring-do,English
Hy kedoem sy kitaar so nou en dan.,Afrikaans
Start from scratch,English
Marital aid,English
On Carey Street,English
Every cloud has a silver lining,English
Good man is hard to find - A,English
Mad as a march hare,English
,English
"There but for the grace of God, go I",English
Dit is peper duur.,Afrikaans
Off the record,English
Oude liefde roest niet.,Nederlands
The road less travelled,English
Alive and kicking,English
Ma’s en huisvroue is die enigste werkers wat nie gereelde vrye tye kry nie. Hulle is die groot vakansielose klas.,Afrikaans
You'll wonder where the yellow went when you brush your teeth with Pepsodent,English
Famous for fifteen minutes,English
Fall guy,English
Wild goose chase,English
Nice kettle of fish,English
Meat and drink,English
Die ding lyk maar tonteldoek.,Afrikaans
"Wie kaatst, moet de bal terug verwachten.",Nederlands
Billy-o - Like,English
Nitty-gritty,English
"Vroeg begonnen, veel gewonnen.",Nederlands
Pleased as Punch,English
Point-and-click,English
"He who can, does; he who cannot, teaches",English
Jy kan nie uitdeel wat jy nie het nie.,Afrikaans
All things must pass,English
A safe pair of hands,English
Something for the weekend sir?,English
Words ending in gry,English
,Afrikaans
Talk the talk,English
More bang for your buck,English
Not for all the tea in China,English
The whole nine yards,English
Fanny Adams - Sweet,English
Miss is as good as a mile,English
Loop soos ‘n hen wat nes soek.,Afrikaans
Not rocket science,English
"As jy nie hande het, kan jy nie ’n vuis maak nie.",Afrikaans
"All singing, all dancing",English
Grind to a halt,English
Drop-dead gorgeous,English
Dark side - The,English
‘n Mens moet nooit lag as ‘n dief op ‘n fiets deur ‘n trein getrap word nie. Dit kan moontlik jou fiets wees.,Afrikaans
I haven't got a clue,English
No-brainer,English
Lackadaisical,English
Two cents worth,English
Geen woorden maar daden.,Nederlands
#ColouredSpreekWoorde was vroeër die week die gewildste onderwerp op Twitter in Suid-Afrika. Ons het so ‘n paar geskraap << KLIK op die skakel vir Coloured Spreekwoorde,Afrikaans
Mighty oaks from little acorns grow,English
Back to square one,English
Here lies one whose name is writ in water,English
"Dis ‘n tragedie as daar iets in jou sterf, terwyl jy nog lewe.",Afrikaans
Keep your chin up,English
Pig in a poke,English
Brass monkey weather,English
"Die manier om ‘n goeie reputasie te kry, is om eerlik te streef na die beeld wat jy wil wees.",Afrikaans
All fingers and thumbs,English
Fall off the back of a lorry,English
In a quandary,English
Put your nose out of joint,English
"As jy skop, kan jy nie trek nie en as jy trek, kan jy nie skop nie.",Afrikaans
Lock stock and barrel,English
The face that launched a thousand ships,English
Red letter day,English
Red sky at night ...,English
Moet nooit ‘n apologie met ‘n verskoning bederf nie.,Afrikaans
Beat a hasty retreat,English
Third degree - The,English
Mickey Finn,English
"Moenie wag dat iets vorendag km nie, vat ‘n graaf en soek die skat.",Afrikaans
Biblical phrases,English
The moving finger writes,English
Truth is stranger than fiction,English
Staan of hy geld in die bank het.,Afrikaans
Ganse aanja.,Afrikaans
A load of cobblers,English
Hou jy van hospitaalkos?  [bydrae: Herman Janse van Rensburg],Afrikaans
"As is en was, nou nie daar was of was het is gebly en daar was nooit ‘n by wat was, dan was was mos is gewees.",Afrikaans
Face that launched a thousand ships - The,English
Finger lickin good,English
Red herring,English
Cat may look at a king - A,English
Je moet niet op één paard wedden.,Nederlands
A norange,English
Ginned up,English
Koerland se vleiseter is 'n lui kalant en so uitgeslape soos my prokureur nie kan droom om te wees.,Afrikaans
Last but not least,English
Show a leg - see shake a leg,English
,English
So bang soos ‘n Bolander vir donderweer.,Afrikaans
Draw your horns in,English
Apie kyk vir kerriekos!,Afrikaans
Geld groei nie aan bome nie.,Afrikaans
There are three kinds of lies...,English
Top drawer,English
Hy het die druiwekar gery.,Afrikaans
All you can eat,English
A fool and his money are soon parted,English
Misery acquaints a man with strange bedfellows,English
"Once more unto the breach, dear friends, once more",English
Love that dare not speak its name - The,English
"Wie a zegt, moet ook b zeggen.",Nederlands
The Crapper,English
Saved by the bell,English
Morbid obesity,English
Blue-plate special,English
Behind the eight ball,English
Titfer,English
A sight for sore eyes,English
Never the twain shall meet,English
By the skin of your teeth,English
Hush puppies,English
Ou bokke pluk die hoogste doringpeule.,Afrikaans
Dit gaan maar patats.,Afrikaans
Absolute power corrupts absolutely,English
Butt end of the stick - The,English
Go to the foot of our stairs,English
Common sense,English
Fait accompli,English
Senior burgers: Vraag: “Wat maak julle heeldag?” Antwoord: “Ons soek ons goed en probeer onthou wat ons vergeet het!!!!”,Afrikaans
Die gekke kry die kaarte.,Afrikaans
Loop gee die hoenders kos!,Afrikaans
"Om vas te staan wanneer jy iets weet en toe te gee dat jy soms iets nie weet nie, dit is KENNIS.",Afrikaans
Bietjie baard maar klipsteenhard.,Afrikaans
Give a wide berth,English
Thing of beauty is a joy forever - A,English
'Scuse me while I kiss this guy,English
Cool as a cucumber,English
Die druiwestokke werk met hom.,Afrikaans
One's heart's content,English
Spin doctor,English
Double Dutch,English
Sy binneleisel is te kort.,Afrikaans
Monty - The full,English
Salad days,English
A word in your shell-like,English
Daylight robbery,English
As old as Methuselah,English
Just deserts,English
Hot-blooded,English
Hulle krap op plekke waar hulle nie jeuk nie en ander jeuk weer op plekke waar hulle nie kan krap nie!,Afrikaans
A shot in the arm,English
Buggins' turn,English
"Kritiek is iets wat jy kan vryspring deur NIKS te sê nie, NIKS te doen nie en NIKS te wees nie.",Afrikaans
"GOLF - Gentlemen only, ladies forbidden",English
Know your onions,English
Dicky-bird - Not a,English
"Brandewyn en vroueraad is goeie dinge, maar jy moet dit bietjies-bietjies gebruik.",Afrikaans
Rock and roll,English
One over the eight,English
Acid test,English
Not worth the candle,English
(The) sky's the limit,English
Jors se gat stamp.,Afrikaans
Ek word alte ongelukkig as ‘n grootman so inkokkewiet werk.,Afrikaans
In limbo,English
Cop an attitude,English
"As jy dan dwing om te val, doen dit terwyl jy nog op die onderste trappie is.",Afrikaans
Yellow Peril,English
Sticky wicket,English
The great unwashed,English
A chain is only as strong as its weakest link,English
Beef and reef,English
The third degree,English
Stiff upper lip,English
Hunky-dory,English
Een gewaarschuwd mens telt voor twee.,Nederlands
Save face,English
Horse's mouth - straight from the,English
Uneasy lies the head that wears a crown,English
Load of cobblers,English
To boldly go where no man has gone before,English
One swallow doesn't make a summer,English
Belle of the ball,English
"‘n Druppel gal is in die soetste wyn; ‘n Traan op elk vrolik snaar; in elke lag ‘n sug van pyn, in elke roos ‘n dowwe blaar. Gewis is alles net ‘n grap! Ons speel in die komedie mee; geblinddoek met ‘n lanferlap; wat selfs die son ‘n skadu gee. Die een wat deur die nag ons pret beloer en laaste lag – is Skoppenboer!",Afrikaans
Quality time,English
Walk free,English
(A) bigger bang for your buck,English
Head over heels,English
Faith will move mountains,English
A countenance more in sorrow than in anger,English
Je moet geen slapende honden wakker maken.,Nederlands
Laughing-stock,English
Speak of the Devil,English
Turn up for the books,English
Pig and whistle,English
Three sheets to the wind,English
Hy doen dermwerk.,Afrikaans
Bats in the belfry,English
As happy as a clam,English
Big fish in a small pond - A,English
Across the board,English
We have seen better days,English
Sex and shopping,English
For every thing there is a season,English
The fat of the land,English
Foregone conclusion,English
Mea culpa,English
The floozie in the jacuzzi,English
Two heads are better than one,English
Wooden hill to Bedfordshire,English
It's all grist to the mill,English
Hy druk almanakke.,Afrikaans
"Die taal van die veroweraar in die mond van die verowerde, is die taal van slawe.",Afrikaans
Beat swords into ploughshares,English
,Nederlands
Die Gautengers lê witpens op Kampsbaai se strand.,Afrikaans
"Ledigheid is die duiwel se oorkussing, lig jou alie en kry jouself in rat.",Afrikaans
Raze to the ground,English
No quarter given,English
I have nothing to declare but my genius,English
Ek sal kan doen met ‘n miljoen.,Afrikaans
Angry young man,English
Tot by oom Daantjie in die kalwerhok.,Afrikaans
Senior citizen,English
Rose by any other name would smell as sweet - A,English
Willy nilly,English
Cold comfort,English
Abracadabra,English
Out of the mouths of babes and sucklings,English
Plates of meat,English
As happy as Larry,English
Dog's breakfast,English
Catbird seat - In the,English
Binge drinking,English
Survival of the fittest,English
Ginger up,English
Piece of cake - A,English
Boss eyed,English
Spend a penny,English
Sixes and sevens - At,English
Horse and cart,English
One-hit wonder,English
Paint the town red,English
Bells and whistles,English
Dit help nie om in die dooie kole te blaas nie. Jy blaas hul net kouer en jou oë vol as.,Afrikaans
The - unkindest cut of all,English
Tomorrow is another day,English
Cock-sure,English
"Sou daar ‘n weersien wees, of is ons verdoem tot verpulwerde deeltjies van eens warm vlees.",Afrikaans
Pie - as easy as,English
No dice,English
So tussen die by en die koek.,Afrikaans
One for the road,English
"Bid vir ‘n goeie oes, maar hou aan werk.",Afrikaans
Die kwaaikind moet uitgebrand word.,Afrikaans
Dit ruik na geld.,Afrikaans
Up in arms,English
Hear hear,English
,Nederlands
He who laughs last laughs longest,English
Jors het al weer gestook.,Afrikaans
Gridlock,English
Gregory Peck,English
Lay it on with a trowel,English
Liefde maakt blind.,Nederlands
No room to swing a cat,English
One stop shop,English
The Yellow Peril,English
Real McCoy,English
,English
As armoede by die voordeur inkom gaan liefde by die agterdeur uit.,Afrikaans
Chop-chop,English
For whom the bell tolls,English
On the warpath,English
Economical with the truth,English
Wrong end of the stick - The,English
Flash in the pan,English
‘n Pot vol goud.,Afrikaans
Hot off the press,English
Norange - A,English
With bells on,English
Jack Palancing,English
Age before beauty,English
Fall from grace,English
Let there be light,English
‘n Graaf was my pen en die grond was my boek.,Afrikaans
Dressed to the nines,English
In the twinkling of an eye,English
Achilles' heel,English
Movers and shakers,English
You can lead a horse to water but you can't make it drink,English
Tongue in cheek,English
Screw your courage to the sticking place,English
Far be it from me,English
Read the riot act,English
Get off on the wrong foot,English
Preaching to the choir,English
Hy is in hart en niere ‘n Bok-ondersteuner.,Afrikaans
Hy staan op die dak.  – ingestuur deur June Edwards,Afrikaans
"No way, Jose",English
Nothing is certain but death and taxes,English
"As jy geluk wil vind en soek, sal jy dit kry, soos die ou dame haar bril – al die tyd veilig op haar neus…",Afrikaans
A load of codswallop,English
Hit the ground running,English
Go over like a lead balloon,English
Bob's your uncle,English
Left in the lurch,English
Many are called but few are chosen,English
Belt and braces,English
A fish out of water,English
Sweet Fanny Adams,English
Action man,English
Ek kon my weldade dikker gesaai het en hulle sou mekaar nie verdring het nie.,Afrikaans
Julius se gesante en trawante raak al minder.,Afrikaans
Wat laat oom Japie weer die grootsê so hoog uit die takke haal?,Afrikaans
Wick - you get on my,English
Bad egg,English
Put a sock in it,English
Om groot te skrik is soms meer werd as goeie raad.,Afrikaans
Hard cheese,English
Sod's Law,English
Below the belt,English
Ducks and drakes,English
Security blanket,English
Dit gaan jou blikkies.,Afrikaans
Gussied-up,English
The balance of power,English
Charley horse,English
The game is up,English
"Seks is soos jou salaristjek, mens praat nie regtig daaroor nie, want netnou kry die ander ou meer as jy.",Afrikaans
Absent without leave,English
My cup of tea,English
Let a thousand flowers bloom,English
The salt of the earth,English
Hy dink hy is die goewerneur se hond se oom.,Afrikaans
Hy is ‘n geldwolf.,Afrikaans
Happy as a clam,English
Like two peas in a pod,English
The course of true love never did run smooth,English
In the limelight,English
Die laaitie se hakskene word rooi.,Afrikaans
Peter out,English
Het jy al jou bakkies geskottel?,Afrikaans
Hissy fit,English
Done to a turn,English
The seven-year itch,English
Sacred cow,English
Moenie die krag onderskat van dom mense in groot getalle nie.,Afrikaans
Cock and bull story,English
"As die hemel val, is ons almal dood.",Afrikaans
To the manner born,English
Counting sheep,English
Take with a grain of salt,English
Excuse my French,English
"As jy daaroor kan lag, kan jy daarmee saamleef.",Afrikaans
Dis klaar Hel op aarde om met ‘n goeie vrou getroud te wees – wat nog te sê met ‘n slegte vrou!,Afrikaans
'n Ou bok hou van jong blare.,Afrikaans
Onder iemand se duiwe skiet.,Afrikaans
High horse - get off your,English
Scott (Sir Walter - phrases coined by),English
So bang soos ‘n haas vir ‘n hond.,Afrikaans
The whole shebang,English
Het regent pijpenstelen,Nederlands
Bee-line - make a bee-line for,English
Cook the books,English
Hy is meer verward as ‘n bergie onder huisarres.,Afrikaans
The tail wagging the dog,English
High on the hog,English
Fuddy-duddy,English
At loggerheads,English
Kettle of fish,English
Play fast and loose,English
Wear the trousers,English
The buck stops here,English
Eat drink and be merry,English
"Ars longa, vita brevis",English
Mexican wave,English
Elvis has left the building,English
Fine words butter no parsnips,English
Balance of trade - The,English
Diamond is forever - A,English
Grandfather clock,English
Bee's knees - The,English
Toffee-nosed,English
Date rape,English
Die-hard,English
Hy het ‘n aap op sy rug.,Afrikaans
Many a little makes a mickle,English
Pull yourself up by your bootstraps,English
Knock off,English
Basket case,English
Channel surfing,English
"If you think that, you have another think coming",English
Bag and baggage,English
Je bent nooit te oud om te leren,Nederlands
Dog days,English
"Between you, me and the bed-post",English
Lager frenzy,English
Lie low,English
Finagle's Law,English
