Region,Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%),Region,longitude,latitude
Goa, 31-08-2020, M,16.21,473016,43.76,West,15.2993,74.124
Goa, 30-09-2020, M,15.38,425004,38.89,West,15.2993,74.124
Goa, 31-10-2020, M,11.54,392304,34.3,West,15.2993,74.124
Gujarat, 31-01-2020, M,5.54,24126346,48.49,West,22.2587,71.1924
Gujarat, 29-02-2020, M,6.38,24757795,50.11,West,22.2587,71.1924
Gujarat, 31-03-2020, M,6.66,23566641,47.75,West,22.2587,71.1924
Gujarat, 30-04-2020, M,18.71,15288878,35.5,West,22.2587,71.1924
Gujarat, 31-05-2020, M,12.11,17836936,38.23,West,22.2587,71.1924
Gujarat, 30-06-2020, M,3.2,23657055,45.96,West,22.2587,71.1924
Gujarat, 31-07-2020, M,1.84,24276120,46.41,West,22.2587,71.1924
Gujarat, 31-08-2020, M,1.87,22817232,43.55,West,22.2587,71.1924
Gujarat, 30-09-2020, M,3.42,25010199,48.41,West,22.2587,71.1924
Gujarat, 31-10-2020, M,4.03,25970259,50.49,West,22.2587,71.1924
Haryana, 31-01-2020, M,20.34,7693231,43.36,North,29.0588,76.0856
Haryana, 29-02-2020, M,25.77,7322942,44.21,North,29.0588,76.0856
Haryana, 31-03-2020, M,25.05,6641555,39.63,North,29.0588,76.0856
Haryana, 30-04-2020, M,43.22,5647630,44.38,North,29.0588,76.0856
Haryana, 31-05-2020, M,29.02,6437868,40.39,North,29.0588,76.0856
Haryana, 30-06-2020, M,26.7,6951934,42.14,North,29.0588,76.0856
Haryana, 31-07-2020, M,24.18,6800652,39.77,North,29.0588,76.0856
Haryana, 31-08-2020, M,33.5,7113788,47.32,North,29.0588,76.0856
Haryana, 30-09-2020, M,19.68,7132439,39.2,North,29.0588,76.0856
Haryana, 31-10-2020, M,27.31,6698551,40.6,North,29.0588,76.0856
Himachal Pradesh, 31-01-2020, M,16.83,2287632,45.5,North,31.1048,77.1734
Himachal Pradesh, 29-02-2020, M,16.84,2180268,43.3,North,31.1048,77.1734
Himachal Pradesh, 31-03-2020, M,18.76,2021858,41.04,North,31.1048,77.1734
Himachal Pradesh, 30-04-2020, M,2.2,1131128,19.04,North,31.1048,77.1734
Himachal Pradesh, 31-05-2020, M,26.95,1897639,42.7,North,31.1048,77.1734
Himachal Pradesh, 30-06-2020, M,13.47,2199683,41.72,North,31.1048,77.1734
Himachal Pradesh, 31-07-2020, M,24.31,2229456,48.25,North,31.1048,77.1734
Himachal Pradesh, 31-08-2020, M,15.79,2029740,39.42,North,31.1048,77.1734
Himachal Pradesh, 30-09-2020, M,12.04,2237480,41.54,North,31.1048,77.1734
Himachal Pradesh, 31-10-2020, M,13.46,2123965,40.01,North,31.1048,77.1734
Jammu & Kashmir, 31-01-2020, M,21.08,3453025,42.2,North,33.7782,76.5762
Jammu & Kashmir, 29-02-2020, M,20.78,3223513,39.17,North,33.7782,76.5762
Jammu & Kashmir, 31-03-2020, M,15.5,3359107,38.18,North,33.7782,76.5762
Jammu & Kashmir, 31-05-2020, M,18.74,3246493,38.21,North,33.7782,76.5762
Jammu & Kashmir, 30-06-2020, M,17.92,3202336,37.24,North,33.7782,76.5762
Jammu & Kashmir, 31-07-2020, M,10.88,3558889,38.03,North,33.7782,76.5762
Jammu & Kashmir, 31-08-2020, M,11.09,3429950,36.66,North,33.7782,76.5762
Jammu & Kashmir, 30-09-2020, M,16.17,3210281,36.31,North,33.7782,76.5762
Jammu & Kashmir, 31-10-2020, M,16.14,3106691,35.05,North,33.7782,76.5762
Jharkhand, 31-01-2020, M,10.61,10198029,42.92,East,23.6102,85.2799
Jharkhand, 29-02-2020, M,11.85,10425425,44.4,East,23.6102,85.2799
Jharkhand, 31-03-2020, M,8.23,9638115,39.34,East,23.6102,85.2799
Jharkhand, 30-04-2020, M,47.09,5335262,37.69,East,23.6102,85.2799
Jharkhand, 31-05-2020, M,59.23,4145385,37.92,East,23.6102,85.2799
Jharkhand, 30-06-2020, M,20.95,8622722,40.59,East,23.6102,85.2799
Jharkhand, 31-07-2020, M,7.63,9521900,38.27,East,23.6102,85.2799
Jharkhand, 31-08-2020, M,9.76,9331640,38.31,East,23.6102,85.2799
Jharkhand, 30-09-2020, M,8.24,10185670,41.04,East,23.6102,85.2799
Jharkhand, 31-10-2020, M,11.8,10302276,43.08,East,23.6102,85.2799
Karnataka, 31-01-2020, M,2.86,22688028,42.18,South,15.3173,75.7139
Karnataka, 29-02-2020, M,3.61,21677719,40.54,South,15.3173,75.7139
Karnataka, 31-03-2020, M,3.46,22079653,41.14,South,15.3173,75.7139
Karnataka, 30-04-2020, M,29.84,16718395,42.78,South,15.3173,75.7139
Karnataka, 31-05-2020, M,19.97,19397853,43.43,South,15.3173,75.7139
Karnataka, 30-06-2020, M,8.44,24215057,47.29,South,15.3173,75.7139
Karnataka, 31-07-2020, M,4.01,22885616,42.55,South,15.3173,75.7139
Karnataka, 31-08-2020, M,0.5,24094289,43.13,South,15.3173,75.7139
Karnataka, 30-09-2020, M,2.41,20127176,36.66,South,15.3173,75.7139
Karnataka, 31-10-2020, M,1.58,22356390,40.3,South,15.3173,75.7139
Kerala, 31-01-2020, M,5.31,9904534,37.12,South,10.8505,76.2711
Kerala, 29-02-2020, M,7.6,9828023,37.71,South,10.8505,76.2711
Kerala, 31-03-2020, M,8.99,8221728,32,South,10.8505,76.2711
Kerala, 30-04-2020, M,16.99,3933276,16.77,South,10.8505,76.2711
Kerala, 31-05-2020, M,17.88,7921962,34.11,South,10.8505,76.2711
Kerala, 30-06-2020, M,9.71,9228268,36.11,South,10.8505,76.2711
Kerala, 31-07-2020, M,7.09,9504420,36.1,South,10.8505,76.2711
Kerala, 31-08-2020, M,10.98,9031944,35.78,South,10.8505,76.2711
Kerala, 30-09-2020, M,5.91,9240913,34.6,South,10.8505,76.2711
Kerala, 31-10-2020, M,3.88,9152881,33.52,South,10.8505,76.2711
Madhya Pradesh, 31-01-2020, M,4.11,23018632,39.42,West,22.9734,78.6569
Madhya Pradesh, 29-02-2020, M,4.57,22711479,39,West,22.9734,78.6569
Madhya Pradesh, 31-03-2020, M,2.22,22867164,38.24,West,22.9734,78.6569
Madhya Pradesh, 30-04-2020, M,12.36,19041832,35.45,West,22.9734,78.6569
Madhya Pradesh, 31-05-2020, M,21.98,18443927,38.48,West,22.9734,78.6569
Madhya Pradesh, 30-06-2020, M,6.48,23054646,40.04,West,22.9734,78.6569
Madhya Pradesh, 31-07-2020, M,5.08,23940158,40.88,West,22.9734,78.6569
Madhya Pradesh, 31-08-2020, M,4.7,23619011,40.08,West,22.9734,78.6569
Madhya Pradesh, 30-09-2020, M,3.91,23341952,39.2,West,22.9734,78.6569
Madhya Pradesh, 31-10-2020, M,3.13,23144552,38.47,West,22.9734,78.6569
Maharashtra, 31-01-2020, M,4.95,42596868,44.19,West,19.7515,75.7139
Maharashtra, 29-02-2020, M,4.69,42416317,43.8,West,19.7515,75.7139
Maharashtra, 31-03-2020, M,5.79,40196806,41.91,West,19.7515,75.7139
Maharashtra, 30-04-2020, M,20.9,27689253,34.32,West,19.7515,75.7139
Maharashtra, 31-05-2020, M,15.46,32116847,37.17,West,19.7515,75.7139
Maharashtra, 30-06-2020, M,9.23,39708538,42.71,West,19.7515,75.7139
Maharashtra, 31-07-2020, M,3.89,40998545,41.57,West,19.7515,75.7139
Maharashtra, 31-08-2020, M,6.23,40963616,42.49,West,19.7515,75.7139
Maharashtra, 30-09-2020, M,4.55,42042911,42.75,West,19.7515,75.7139
Maharashtra, 31-10-2020, M,4.1,43317881,43.75,West,19.7515,75.7139
Meghalaya, 31-01-2020, M,1.66,1491093,65.49,Northeast,25.467,91.3662
Meghalaya, 29-02-2020, M,3.59,1346829,60.2,Northeast,25.467,91.3662
Meghalaya, 31-03-2020, M,1.58,1482351,64.74,Northeast,25.467,91.3662
Meghalaya, 30-04-2020, M,10.03,965057,45.99,Northeast,25.467,91.3662
Meghalaya, 31-05-2020, M,5.92,1215064,55.24,Northeast,25.467,91.3662
Meghalaya, 30-06-2020, M,1.15,1350794,58.31,Northeast,25.467,91.3662
Meghalaya, 31-07-2020, M,2.1,1448106,62.96,Northeast,25.467,91.3662
Meghalaya, 31-08-2020, M,3.74,1357643,59.88,Northeast,25.467,91.3662
Meghalaya, 30-09-2020, M,4.29,1459726,64.6,Northeast,25.467,91.3662
Meghalaya, 31-10-2020, M,4.6,1381490,61.18,Northeast,25.467,91.3662
Odisha, 31-01-2020, M,1.9,13743448,39.44,East,20.9517,85.0985
Odisha, 29-02-2020, M,3.12,14280735,41.44,East,20.9517,85.0985
Odisha, 31-03-2020, M,13.08,12272109,39.62,East,20.9517,85.0985
Odisha, 30-04-2020, M,23.76,6865693,25.23,East,20.9517,85.0985
Odisha, 31-05-2020, M,11.41,11730937,37.04,East,20.9517,85.0985
Odisha, 30-06-2020, M,3.77,12903993,37.45,East,20.9517,85.0985
Odisha, 31-07-2020, M,1.88,13614400,38.69,East,20.9517,85.0985
Odisha, 31-08-2020, M,1.42,14154039,39.96,East,20.9517,85.0985
Odisha, 30-09-2020, M,2.1,13608422,38.63,East,20.9517,85.0985
Odisha, 31-10-2020, M,2.18,14094553,39.98,East,20.9517,85.0985
Puducherry, 31-01-2020, M,0.58,457950,37.46,South,11.9416,79.8083
Puducherry, 29-02-2020, M,1.76,493961,40.8,South,11.9416,79.8083
Puducherry, 31-03-2020, M,1.2,421028,34.49,South,11.9416,79.8083
Puducherry, 30-04-2020, M,75.85,117542,39.3,South,11.9416,79.8083
Puducherry, 31-05-2020, M,58.19,172308,33.19,South,11.9416,79.8083
Puducherry, 30-06-2020, M,4.24,367135,30.8,South,11.9416,79.8083
Puducherry, 31-07-2020, M,15.47,386563,36.64,South,11.9416,79.8083
Puducherry, 31-08-2020, M,5.05,396006,33.34,South,11.9416,79.8083
Puducherry, 30-09-2020, M,10.9,411717,36.84,South,11.9416,79.8083
Puducherry, 31-10-2020, M,6.18,428419,36.32,South,11.9416,79.8083
Punjab, 31-01-2020, M,11.11,9442093,42.82,North,31.1471,75.3412
Punjab, 29-02-2020, M,10.97,9229047,41.72,North,31.1471,75.3412
Punjab, 31-03-2020, M,10.32,9975485,44.69,North,31.1471,75.3412
Punjab, 30-04-2020, M,2.86,7020565,28.99,North,31.1471,75.3412
Punjab, 31-05-2020, M,28.33,6872938,38.39,North,31.1471,75.3412
Punjab, 30-06-2020, M,16.55,8390766,40.18,North,31.1471,75.3412
Punjab, 31-07-2020, M,9.19,9732417,42.76,North,31.1471,75.3412
Punjab, 31-08-2020, M,10.99,9386169,41.99,North,31.1471,75.3412
Punjab, 30-09-2020, M,9.61,8980432,39.5,North,31.1471,75.3412
Punjab, 31-10-2020, M,9.88,8800430,38.75,North,31.1471,75.3412
Rajasthan, 31-01-2020, M,10.97,20641716,40.51,North,27.0238,74.2179
Rajasthan, 29-02-2020, M,15.16,20328915,41.77,North,27.0238,74.2179
Rajasthan, 31-03-2020, M,11.9,20024680,39.54,North,27.0238,74.2179
Rajasthan, 30-04-2020, M,17.7,15984142,33.71,North,27.0238,74.2179
Rajasthan, 31-05-2020, M,15.74,19826602,40.74,North,27.0238,74.2179
Rajasthan, 30-06-2020, M,14.39,20506612,41.38,North,27.0238,74.2179
Rajasthan, 31-07-2020, M,15.81,19932393,40.8,North,27.0238,74.2179
Rajasthan, 31-08-2020, M,17.51,20014060,41.71,North,27.0238,74.2179
Rajasthan, 30-09-2020, M,15.35,20149594,40.83,North,27.0238,74.2179
Rajasthan, 31-10-2020, M,24.15,19908808,44.92,North,27.0238,74.2179
Sikkim, 31-03-2020, M,23.57,262895,60.59,Northeast,27.533,88.5122
Sikkim, 30-04-2020, M,2.28,215303,38.7,Northeast,27.533,88.5122
Sikkim, 31-05-2020, M,24.51,193427,44.88,Northeast,27.533,88.5122
Sikkim, 30-06-2020, M,4.46,221058,40.4,Northeast,27.533,88.5122
Sikkim, 31-07-2020, M,4.45,265175,48.32,Northeast,27.533,88.5122
Sikkim, 31-08-2020, M,12.49,244462,48.49,Northeast,27.533,88.5122
Sikkim, 30-09-2020, M,5.7,231798,42.54,Northeast,27.533,88.5122
Sikkim, 31-10-2020, M,0.88,242068,42.13,Northeast,27.533,88.5122
Tamil Nadu, 31-01-2020, M,1.57,26881641,41.96,South,11.1271,78.6569
Tamil Nadu, 29-02-2020, M,2.09,27570589,43.2,South,11.1271,78.6569
Tamil Nadu, 31-03-2020, M,6.4,26830768,43.91,South,11.1271,78.6569
Tamil Nadu, 30-04-2020, M,49.83,9719167,29.63,South,11.1271,78.6569
Tamil Nadu, 31-05-2020, M,33.16,11483256,26.23,South,11.1271,78.6569
Tamil Nadu, 30-06-2020, M,12.2,19096847,33.16,South,11.1271,78.6569
Tamil Nadu, 31-07-2020, M,6.81,24572827,40.13,South,11.1271,78.6569
Tamil Nadu, 31-08-2020, M,2.65,27046415,42.22,South,11.1271,78.6569
Tamil Nadu, 30-09-2020, M,5,23025845,36.77,South,11.1271,78.6569
Tamil Nadu, 31-10-2020, M,2.16,23651626,36.62,South,11.1271,78.6569
Telangana, 31-01-2020, M,5.49,17609295,59.25,South,18.1124,79.0193
Telangana, 29-02-2020, M,8.29,16825970,58.24,South,18.1124,79.0193
Telangana, 31-03-2020, M,5.77,17341613,58.31,South,18.1124,79.0193
Telangana, 30-04-2020, M,6.25,12172230,41.06,South,18.1124,79.0193
Telangana, 31-05-2020, M,14.7,14977774,55.43,South,18.1124,79.0193
Telangana, 30-06-2020, M,10.55,15108910,53.22,South,18.1124,79.0193
Telangana, 31-07-2020, M,5.36,15679417,52.1,South,18.1124,79.0193
Telangana, 31-08-2020, M,5.79,18185429,60.59,South,18.1124,79.0193
Telangana, 30-09-2020, M,3.27,16961448,54.94,South,18.1124,79.0193
Telangana, 31-10-2020, M,2.86,17578739,56.58,South,18.1124,79.0193
Tripura, 31-01-2020, M,32.67,1508130,69.69,Northeast,23.9408,91.9882
Tripura, 29-02-2020, M,28.4,1584686,68.74,Northeast,23.9408,91.9882
Tripura, 31-03-2020, M,29.95,1511217,66.89,Northeast,23.9408,91.9882
Tripura, 30-04-2020, M,41.23,971514,51.16,Northeast,23.9408,91.9882
Tripura, 31-05-2020, M,21.51,1290986,50.81,Northeast,23.9408,91.9882
Tripura, 30-06-2020, M,21.71,1494140,58.85,Northeast,23.9408,91.9882
Tripura, 31-07-2020, M,18.24,1348849,50.78,Northeast,23.9408,91.9882
Tripura, 31-08-2020, M,27.92,1318621,56.21,Northeast,23.9408,91.9882
Tripura, 30-09-2020, M,17.35,1368244,50.77,Northeast,23.9408,91.9882
Tripura, 31-10-2020, M,11.57,1576529,54.58,Northeast,23.9408,91.9882
Uttar Pradesh, 31-01-2020, M,7.58,59433759,39.63,North,26.8467,80.9462
Uttar Pradesh, 29-02-2020, M,8.98,58060531,39.23,North,26.8467,80.9462
Uttar Pradesh, 31-03-2020, M,10.11,56976338,38.89,North,26.8467,80.9462
Uttar Pradesh, 30-04-2020, M,21.54,50915056,39.73,North,26.8467,80.9462
Uttar Pradesh, 31-05-2020, M,20.41,49801902,38.22,North,26.8467,80.9462
Uttar Pradesh, 30-06-2020, M,9.47,55380649,37.29,North,26.8467,80.9462
Uttar Pradesh, 31-07-2020, M,5.56,56201654,36.19,North,26.8467,80.9462
Uttar Pradesh, 31-08-2020, M,5.79,55831744,35.96,North,26.8467,80.9462
Uttar Pradesh, 30-09-2020, M,4.18,56106836,35.45,North,26.8467,80.9462
Uttar Pradesh, 31-10-2020, M,3.75,56539521,35.49,North,26.8467,80.9462
Uttarakhand, 31-01-2020, M,5.49,2711639,32.99,North,30.0668,79.0193
Uttarakhand, 29-02-2020, M,4.99,3020931,36.48,North,30.0668,79.0193
Uttarakhand, 31-03-2020, M,19.85,2539302,36.27,North,30.0668,79.0193
Uttarakhand, 30-04-2020, M,6.48,2720115,33.23,North,30.0668,79.0193
Uttarakhand, 31-05-2020, M,8.01,2694072,33.38,North,30.0668,79.0193
Uttarakhand, 30-06-2020, M,8.61,2656071,33.06,North,30.0668,79.0193
Uttarakhand, 31-07-2020, M,12.38,2938552,38.07,North,30.0668,79.0193
Uttarakhand, 31-08-2020, M,14.26,2717528,35.9,North,30.0668,79.0193
Uttarakhand, 30-09-2020, M,22.26,2695230,39.18,North,30.0668,79.0193
Uttarakhand, 31-10-2020, M,9.23,2739309,34.03,North,30.0668,79.0193
West Bengal, 31-01-2020, M,6.94,35820789,47.35,East,22.9868,87.855
West Bengal, 29-02-2020, M,4.92,36964178,47.74,East,22.9868,87.855
West Bengal, 31-03-2020, M,6.92,35903917,47.27,East,22.9868,87.855
West Bengal, 30-04-2020, M,17.41,26938836,39.9,East,22.9868,87.855
West Bengal, 31-05-2020, M,17.41,28356675,41.92,East,22.9868,87.855
West Bengal, 30-06-2020, M,7.29,30726310,40.39,East,22.9868,87.855
West Bengal, 31-07-2020, M,6.83,35372506,46.17,East,22.9868,87.855
West Bengal, 31-08-2020, M,14.87,33298644,47.48,East,22.9868,87.855
West Bengal, 30-09-2020, M,9.35,35707239,47.73,East,22.9868,87.855
West Bengal, 31-10-2020, M,9.98,33962549,45.63,East,22.9868,87.855
