number_of_rooms,number_of_bathrooms,sqft,location,days_on_market,neighborhood,rental_price
2,1,786,poor,63,westbrae,2482.424
0,1,518,poor,21,westbrae,1670.652
1,1,532,great,4,south_side,2491
1,1,533,poor,26,westbrae,1727.024
1,1,733,poor,56,westbrae,1550.688
0,1,417,good,9,downtown,1687
2,1,891,good,3,downtown,3504
2,1,938,poor,50,westbrae,2827.52
2,1,688,good,12,downtown,3154
1,1,504,poor,22,westbrae,1783.836
1,1,741,good,3,downtown,2226
2,1,564,good,13,downtown,3001
2,1,503,good,10,downtown,3026
2,1,755,good,7,downtown,3254
0,1,415,poor,39,westbrae,1416.064
2,1,911,good,6,downtown,3492
3,2,853,good,4,downtown,4710
0,1,337,good,1,downtown,1775
1,1,477,poor,64,westbrae,1250.352
3,2,1081,great,7,south_side,5351
0,1,464,poor,21,westbrae,1641.71
3,2,1219,good,1,downtown,5030
3,2,1106,good,10,downtown,4833
2,1,891,good,9,downtown,3371
1,1,518,good,6,downtown,2005
0,1,245,great,4,south_side,2094
3,2,1216,great,5,south_side,5495
0,1,381,poor,28,westbrae,1459.272
2,1,819,great,7,south_side,3806
2,1,787,good,9,downtown,3332
3,2,936,good,2,downtown,4738
2,1,740,good,6,downtown,3294
3,2,1215,great,13,south_side,5467
2,1,853,poor,40,westbrae,2923.2
2,1,942,poor,59,westbrae,2744.794
3,2,1204,good,7,downtown,5016
3,2,1098,great,10,south_side,5386
1,1,741,good,12,downtown,2170
1,1,603,great,10,south_side,2508
3,2,1074,good,12,downtown,4796
1,1,588,good,14,downtown,1961
0,1,334,poor,48,westbrae,1173.392
2,1,736,great,2,south_side,3854
3,2,1056,poor,54,westbrae,4108.256
1,1,625,great,2,south_side,2578
2,1,530,poor,47,westbrae,2471.898
2,1,626,great,4,south_side,3693
1,1,736,poor,30,westbrae,1853.18
3,2,882,good,10,downtown,4659
2,1,646,good,1,downtown,3280
0,1,231,good,2,downtown,1650
0,1,157,poor,36,westbrae,1134.496
1,1,489,good,9,downtown,1916
0,1,464,good,11,downtown,1793
1,1,320,great,8,south_side,2268
0,1,390,great,4,south_side,2230
2,1,682,great,5,south_side,3705
2,1,729,great,2,south_side,3856
3,2,837,poor,23,westbrae,4412.366
3,2,933,poor,22,westbrae,4538.772
1,1,606,great,14,south_side,2454
2,1,663,great,3,south_side,3691
1,1,407,good,3,downtown,1894
1,1,692,good,5,downtown,2115
3,2,975,great,6,south_side,5271
2,1,726,good,11,downtown,3242
1,1,329,good,10,downtown,1755
1,1,418,good,3,downtown,1907
1,1,627,good,2,downtown,2060
0,1,435,poor,26,westbrae,1534.364
2,1,533,great,2,south_side,3645
3,2,820,poor,23,westbrae,4403.42
2,1,935,great,13,south_side,3880
0,1,144,great,4,south_side,1979
2,1,872,poor,61,westbrae,2647.512
2,1,646,poor,53,westbrae,2568.5
0,1,141,poor,59,westbrae,866.68
3,2,816,poor,25,westbrae,4382.73
0,1,320,poor,36,westbrae,1279.696
3,2,1143,poor,18,westbrae,4846
3,2,1087,good,2,downtown,4898
0,1,369,poor,43,westbrae,1286.946
1,1,358,good,3,downtown,1866
0,1,539,good,3,downtown,1899
2,1,885,poor,50,westbrae,2795.56
2,1,938,good,7,downtown,3497
0,1,488,poor,49,westbrae,1335.756
3,2,1157,good,10,downtown,4862
3,2,902,poor,29,westbrae,4375.792
2,1,623,poor,26,westbrae,2925.468
2,1,803,good,8,downtown,3279
3,2,1006,poor,44,westbrae,4204.032
3,2,916,poor,36,westbrae,4237.904
3,2,1180,good,5,downtown,5021
0,1,461,poor,31,westbrae,1512.966
0,1,390,poor,26,westbrae,1512.628
0,1,271,good,14,downtown,1557
2,1,745,poor,37,westbrae,2850.666
3,2,1080,good,14,downtown,4771
3,2,963,good,3,downtown,4734
2,1,901,poor,24,westbrae,3200.192
0,1,307,great,7,south_side,2151
3,2,871,good,11,downtown,4626
1,1,649,poor,46,westbrae,1590.744
0,1,459,poor,37,westbrae,1414.224
1,1,624,poor,31,westbrae,1806.366
1,1,350,good,11,downtown,1759
1,1,600,good,11,downtown,2009
0,1,541,good,8,downtown,1894
3,2,939,poor,29,westbrae,4403.288
2,1,606,great,4,south_side,3675
3,2,1139,good,11,downtown,4861
3,2,1234,good,3,downtown,5052
3,2,1150,good,2,downtown,4982
3,2,996,good,13,downtown,4758
2,1,559,great,1,south_side,3657
1,1,447,good,12,downtown,1784
1,1,698,poor,23,westbrae,1986.012
0,1,371,good,13,downtown,1639
0,1,425,poor,34,westbrae,1408.428
3,2,948,great,8,south_side,5224
0,1,441,poor,19,westbrae,1613
0,1,112,good,7,downtown,1487
2,1,876,poor,15,westbrae,3347
3,2,860,good,4,downtown,4631
0,1,312,poor,26,westbrae,1461.252
0,1,233,great,10,south_side,2079
1,1,743,great,3,south_side,2732
2,1,564,good,6,downtown,3137
0,1,335,good,12,downtown,1609
2,1,879,great,10,south_side,3923
3,2,1001,poor,57,westbrae,3930.87
1,1,721,great,3,south_side,2701
0,1,547,good,2,downtown,1936
2,1,871,good,3,downtown,3434
2,1,904,great,8,south_side,3938
0,1,150,poor,60,westbrae,880.44
2,1,892,poor,18,westbrae,3303
2,1,886,good,10,downtown,3396
2,1,619,great,0,south_side,3671
2,1,598,poor,16,westbrae,3049
2,1,883,good,8,downtown,3411
1,1,443,good,10,downtown,1820
3,2,969,poor,56,westbrae,3931.008
0,1,457,good,4,downtown,1796
3,2,1175,good,0,downtown,4999
0,1,511,great,1,south_side,2431
1,1,514,poor,51,westbrae,1440.768
3,2,916,good,3,downtown,4716
1,1,625,poor,42,westbrae,1624.244
0,1,442,good,5,downtown,1779
0,1,310,poor,20,westbrae,1465
3,2,865,good,0,downtown,4742
3,2,819,great,12,south_side,5049
1,1,598,great,7,south_side,2499
0,1,383,good,11,downtown,1707
0,1,145,good,6,downtown,1442
2,1,878,good,8,downtown,3379
2,1,557,poor,29,westbrae,2851.728
0,1,505,good,2,downtown,1863
2,1,646,great,0,south_side,3727
0,1,123,great,9,south_side,1976
0,1,375,poor,17,westbrae,1620
3,2,1124,great,9,south_side,5420
1,1,704,good,14,downtown,2081
0,1,294,great,1,south_side,2221
2,1,850,good,2,downtown,3437
0,1,376,good,1,downtown,1766
0,1,150,poor,43,westbrae,1033.182
3,2,1054,poor,46,westbrae,4181.628
0,1,191,good,12,downtown,1492
0,1,300,good,8,downtown,1667
0,1,283,good,7,downtown,1582
0,1,454,good,13,downtown,1753
2,1,589,good,7,downtown,3077
2,1,906,good,9,downtown,3421
0,1,222,poor,58,westbrae,957.264
3,2,1088,poor,52,westbrae,4111.848
0,1,410,good,3,downtown,1740
1,1,597,good,9,downtown,1978
3,2,1006,poor,27,westbrae,4515.88
1,1,499,poor,38,westbrae,1564.572
0,1,149,poor,47,westbrae,989.516
0,1,426,good,3,downtown,1783
0,1,361,great,2,south_side,2210
3,2,880,good,2,downtown,4726
2,1,935,good,4,downtown,3477
1,1,363,good,12,downtown,1765
3,2,1037,poor,35,westbrae,4440.66
3,2,1145,good,11,downtown,4929
1,1,435,good,8,downtown,1855
3,2,1114,great,9,south_side,5363
3,2,1055,good,0,downtown,4933
1,1,503,good,9,downtown,1866
3,2,816,good,8,downtown,4594
1,1,435,good,6,downtown,1884
1,1,609,poor,15,westbrae,1929
3,2,984,good,0,downtown,4855
1,1,602,good,2,downtown,2043
2,1,892,good,3,downtown,3435
0,1,397,good,11,downtown,1698
3,2,871,poor,31,westbrae,4300.266
2,1,653,good,9,downtown,3147
1,1,748,poor,62,westbrae,1493.996
0,1,235,great,14,south_side,2000
3,2,1133,good,9,downtown,4874
0,1,272,poor,57,westbrae,1034.342
0,1,532,poor,63,westbrae,1202.824
2,1,855,good,9,downtown,3362
3,2,1165,good,9,downtown,4902
3,2,1085,great,13,south_side,5279
0,1,195,great,6,south_side,2039
1,1,409,great,4,south_side,2380
3,2,1186,poor,62,westbrae,4064.292
1,1,476,great,8,south_side,2370
1,1,438,great,6,south_side,2332
3,2,1182,good,6,downtown,4994
1,1,305,good,14,downtown,1675
3,2,1179,good,7,downtown,4977
3,2,1109,good,9,downtown,4906
0,1,322,good,13,downtown,1573
2,1,822,good,8,downtown,3374
0,1,525,good,0,downtown,1875
3,2,1022,poor,60,westbrae,3956
0,1,303,poor,48,westbrae,1112.976
1,1,656,poor,31,westbrae,1830.816
3,2,1212,poor,16,westbrae,4906
1,1,743,poor,44,westbrae,1671.712
1,1,354,good,0,downtown,1859
1,1,579,poor,51,westbrae,1453.9
1,1,327,poor,63,westbrae,1097.714
2,1,550,good,1,downtown,3155
3,2,914,good,0,downtown,4805
3,2,1225,poor,56,westbrae,4179.712
1,1,714,good,8,downtown,2135
2,1,679,good,1,downtown,3251
1,1,719,poor,64,alcatraz_ave,1455.552
0,1,461,great,6,berkeley_hills,2269
3,2,1097,good,7,thowsand_oaks,4832
2,1,525,good,3,thowsand_oaks,3058
3,2,850,good,1,thowsand_oaks,4718
3,2,1183,poor,23,alcatraz_ave,4772.194
3,2,915,great,1,berkeley_hills,5240
3,2,972,good,5,thowsand_oaks,4794
3,2,903,poor,27,alcatraz_ave,4464.608
2,1,738,good,11,thowsand_oaks,3277
1,1,608,poor,59,alcatraz_ave,1361.794
2,1,908,poor,49,alcatraz_ave,2838.246
3,2,961,good,9,thowsand_oaks,4764
0,1,225,good,3,thowsand_oaks,1626
1,1,635,good,1,thowsand_oaks,2111
1,1,519,good,8,thowsand_oaks,1956
2,1,917,great,13,berkeley_hills,3901
3,2,1094,great,12,berkeley_hills,5323
0,1,296,great,5,berkeley_hills,2151
2,1,536,poor,43,alcatraz_ave,2624.454
3,2,863,great,4,berkeley_hills,5151
3,2,953,good,10,thowsand_oaks,4682
0,1,451,poor,60,alcatraz_ave,1135.28
3,2,1236,good,11,thowsand_oaks,4993
2,1,624,poor,47,alcatraz_ave,2590.148
3,2,902,poor,42,alcatraz_ave,4186.324
0,1,310,good,12,thowsand_oaks,1638
2,1,882,good,13,thowsand_oaks,3322
2,1,939,good,12,thowsand_oaks,3437
2,1,659,good,14,thowsand_oaks,3166
2,1,740,good,1,thowsand_oaks,3329
2,1,697,good,3,thowsand_oaks,3240
1,1,580,poor,45,alcatraz_ave,1513.35
0,1,102,great,8,berkeley_hills,1895
2,1,921,poor,53,alcatraz_ave,2826.284
1,1,380,poor,30,alcatraz_ave,1545.46
3,2,869,great,2,berkeley_hills,5152
1,1,727,good,11,thowsand_oaks,2078
0,1,240,poor,45,alcatraz_ave,1094.4
0,1,535,good,14,thowsand_oaks,1830
2,1,677,poor,49,alcatraz_ave,2616.876
0,1,187,good,0,thowsand_oaks,1566
2,1,919,good,12,thowsand_oaks,3419
3,2,1171,poor,25,alcatraz_ave,4727.25
3,2,1121,good,10,thowsand_oaks,4877
0,1,124,good,6,thowsand_oaks,1441
1,1,326,good,9,thowsand_oaks,1782
0,1,469,good,14,thowsand_oaks,1713
3,2,1102,poor,64,alcatraz_ave,3918.864
0,1,379,poor,28,alcatraz_ave,1509.456
3,2,983,great,14,berkeley_hills,5145
1,1,686,good,4,thowsand_oaks,2175
0,1,194,great,10,berkeley_hills,2042
2,1,890,good,6,thowsand_oaks,3476
0,1,497,good,4,thowsand_oaks,1877
3,2,831,good,4,thowsand_oaks,4621
1,1,472,poor,17,alcatraz_ave,1771
3,2,1032,poor,51,alcatraz_ave,4121.572
0,1,398,great,12,berkeley_hills,2151
3,2,913,great,4,berkeley_hills,5269
0,1,438,great,8,berkeley_hills,2273
0,1,220,good,3,thowsand_oaks,1548
3,2,1009,great,8,berkeley_hills,5326
1,1,649,great,5,berkeley_hills,2563
0,1,499,good,5,thowsand_oaks,1839
2,1,677,good,0,thowsand_oaks,3232
3,2,926,good,13,thowsand_oaks,4679
3,2,1005,poor,59,alcatraz_ave,3923.11
0,1,137,good,9,thowsand_oaks,1479
3,2,1066,good,13,thowsand_oaks,4774
0,1,436,good,14,thowsand_oaks,1658
2,1,773,good,12,thowsand_oaks,3207
3,2,1038,great,8,berkeley_hills,5318
0,1,103,good,12,thowsand_oaks,1413
0,1,498,good,10,thowsand_oaks,1801
0,1,432,poor,55,alcatraz_ave,1211.79
0,1,127,poor,61,alcatraz_ave,847.314
1,1,490,great,6,berkeley_hills,2452
3,2,987,great,6,berkeley_hills,5298
1,1,435,poor,49,alcatraz_ave,1372.494
2,1,606,good,11,thowsand_oaks,3068
1,1,638,poor,41,alcatraz_ave,1699.492
3,2,944,great,2,berkeley_hills,5321
1,1,601,poor,47,alcatraz_ave,1548.602
3,2,1024,poor,17,alcatraz_ave,4745
1,1,729,poor,63,alcatraz_ave,1420.356
3,2,1226,great,11,berkeley_hills,5436
0,1,519,good,12,thowsand_oaks,1760
0,1,399,good,9,thowsand_oaks,1672
2,1,665,good,12,thowsand_oaks,3106
2,1,566,great,9,berkeley_hills,3569
2,1,549,poor,19,alcatraz_ave,2997
2,1,934,good,2,thowsand_oaks,3529
0,1,500,poor,42,alcatraz_ave,1416.792
0,1,111,great,9,berkeley_hills,1878
3,2,848,good,6,thowsand_oaks,4599
0,1,305,good,3,thowsand_oaks,1687
0,1,361,poor,56,alcatraz_ave,1155.36
1,1,565,good,6,thowsand_oaks,2038
0,1,283,poor,54,alcatraz_ave,1039.18
2,1,505,great,11,berkeley_hills,3478
0,1,228,great,10,berkeley_hills,2067
3,2,1119,poor,54,alcatraz_ave,4105.46
0,1,267,good,2,thowsand_oaks,1635
3,2,916,good,0,thowsand_oaks,4727
2,1,903,poor,58,alcatraz_ave,2700.852
3,2,1046,good,13,thowsand_oaks,4722
1,1,513,good,11,thowsand_oaks,1924
3,2,1211,good,1,thowsand_oaks,5043
0,1,105,poor,28,alcatraz_ave,1187.688
2,1,553,good,1,thowsand_oaks,3177
3,2,1044,good,9,thowsand_oaks,4847
0,1,492,poor,64,alcatraz_ave,1153.68
2,1,847,good,7,thowsand_oaks,3419
0,1,232,poor,62,alcatraz_ave,904.092
2,1,774,great,3,berkeley_hills,3875
2,1,582,poor,60,alcatraz_ave,2383.72
2,1,652,good,0,thowsand_oaks,3212
2,1,538,good,10,thowsand_oaks,2988
0,1,391,poor,53,alcatraz_ave,1162.83
1,1,723,great,3,berkeley_hills,2649
3,2,1043,great,2,berkeley_hills,5356
3,2,893,poor,38,alcatraz_ave,4232.924
2,1,608,good,9,thowsand_oaks,3109
0,1,511,great,12,berkeley_hills,2242
2,1,791,great,1,berkeley_hills,3870
2,1,792,poor,33,alcatraz_ave,2935.636
0,1,110,poor,20,alcatraz_ave,1315
1,1,616,poor,17,alcatraz_ave,1943
2,1,505,good,2,thowsand_oaks,3080
1,1,411,good,8,thowsand_oaks,1810
2,1,846,good,12,thowsand_oaks,3282
3,2,965,good,4,thowsand_oaks,4811
1,1,440,good,6,thowsand_oaks,1847
1,1,386,poor,56,alcatraz_ave,1248.16
3,2,1247,good,11,thowsand_oaks,4974
3,2,1058,great,11,berkeley_hills,5336
2,1,587,poor,63,alcatraz_ave,2350.808
0,1,145,great,1,berkeley_hills,2049
3,2,928,poor,47,alcatraz_ave,4090.504
2,1,735,good,4,thowsand_oaks,3288
1,1,433,poor,51,alcatraz_ave,1341.34
3,2,1009,good,10,thowsand_oaks,4760
0,1,369,poor,42,alcatraz_ave,1250.448
1,1,654,poor,36,alcatraz_ave,1782.088
0,1,144,good,5,thowsand_oaks,1531
0,1,425,great,13,berkeley_hills,2162
1,1,509,poor,20,alcatraz_ave,1765
2,1,615,good,9,thowsand_oaks,3085
1,1,519,great,6,berkeley_hills,2453
3,2,1235,great,1,berkeley_hills,5602
0,1,434,good,0,thowsand_oaks,1800
3,2,1028,poor,15,alcatraz_ave,4693
2,1,852,good,12,thowsand_oaks,3369
3,2,1039,good,1,thowsand_oaks,4887
3,2,1020,great,5,berkeley_hills,5319
0,1,354,great,13,berkeley_hills,2162
3,2,1034,great,12,berkeley_hills,5259
3,2,800,good,2,thowsand_oaks,4618
2,1,815,good,0,thowsand_oaks,3436
0,1,350,poor,61,alcatraz_ave,1006.128
0,1,489,great,6,berkeley_hills,2307
1,1,744,poor,37,alcatraz_ave,1853.754
3,2,874,good,1,thowsand_oaks,4671
0,1,392,great,7,berkeley_hills,2205
0,1,485,great,12,berkeley_hills,2285
0,1,500,poor,27,alcatraz_ave,1609.152
3,2,1239,poor,24,alcatraz_ave,4836.992
1,1,702,good,13,thowsand_oaks,2068
0,1,467,good,1,thowsand_oaks,1869
2,1,564,good,7,thowsand_oaks,3119
1,1,560,great,2,berkeley_hills,2497
0,1,219,good,8,thowsand_oaks,1529
3,2,1154,great,11,berkeley_hills,5396
1,1,309,good,2,thowsand_oaks,1783
2,1,655,poor,32,alcatraz_ave,2850.896
1,1,338,good,3,thowsand_oaks,1835
3,2,908,good,9,thowsand_oaks,4620
1,1,518,poor,60,alcatraz_ave,1274.2
0,1,279,good,11,thowsand_oaks,1601
0,1,267,good,7,thowsand_oaks,1580
2,1,587,good,14,thowsand_oaks,3062
1,1,648,poor,62,alcatraz_ave,1426.212
2,1,845,poor,37,alcatraz_ave,2994.6
2,1,549,great,6,berkeley_hills,3575
1,1,660,good,8,thowsand_oaks,2092
2,1,585,good,10,thowsand_oaks,3060
0,1,279,good,3,thowsand_oaks,1681
0,1,538,poor,43,alcatraz_ave,1421.46
2,1,932,poor,53,alcatraz_ave,2807.604
2,1,814,great,5,berkeley_hills,3868
2,1,709,poor,27,alcatraz_ave,2975.748
2,1,896,good,5,thowsand_oaks,3483
3,2,1140,good,10,thowsand_oaks,4853
3,2,1065,poor,32,alcatraz_ave,4521.808
2,1,735,poor,33,alcatraz_ave,2902.52
2,1,613,poor,39,alcatraz_ave,2738.814
1,1,666,poor,38,alcatraz_ave,1711.1
1,1,300,good,5,thowsand_oaks,1739
3,2,959,great,3,berkeley_hills,5286
0,1,135,great,1,berkeley_hills,2026
1,1,568,poor,32,alcatraz_ave,1680.672
2,1,824,poor,47,alcatraz_ave,2802.052
1,1,493,poor,24,alcatraz_ave,1783.616
2,1,666,great,10,berkeley_hills,3671
1,1,432,good,14,thowsand_oaks,1782
2,1,768,great,7,berkeley_hills,3795
0,1,223,poor,57,alcatraz_ave,988.968
1,1,568,poor,15,alcatraz_ave,1885
0,1,503,good,9,thowsand_oaks,1839
3,2,872,poor,53,alcatraz_ave,3933.074
1,1,407,great,3,berkeley_hills,2338
0,1,150,great,3,berkeley_hills,2041
1,1,701,good,10,thowsand_oaks,2074
3,2,811,poor,47,alcatraz_ave,3966.578
3,2,1086,poor,25,alcatraz_ave,4592.61
3,2,1002,good,2,thowsand_oaks,4824
1,1,618,poor,16,alcatraz_ave,1954
2,1,884,great,9,berkeley_hills,3855
3,2,1125,good,8,thowsand_oaks,4895
1,1,320,good,1,thowsand_oaks,1789
2,1,853,good,12,thowsand_oaks,3336
1,1,399,great,12,berkeley_hills,2236
3,2,980,great,8,berkeley_hills,5239
0,1,400,poor,24,alcatraz_ave,1514.784
2,1,836,great,5,berkeley_hills,3927
3,2,1175,poor,57,alcatraz_ave,4134.59
3,2,1094,good,6,thowsand_oaks,4883
2,1,925,good,13,thowsand_oaks,3355
2,1,736,poor,60,alcatraz_ave,2491.36
2,1,729,good,9,thowsand_oaks,3280
1,1,540,poor,60,alcatraz_ave,1345.96
3,2,858,poor,31,alcatraz_ave,4269.948
1,1,570,great,13,berkeley_hills,2421
2,1,664,great,0,berkeley_hills,3749
0,1,378,good,13,thowsand_oaks,1653
1,1,670,good,3,thowsand_oaks,2149
0,1,474,great,4,berkeley_hills,2382
3,2,1157,great,10,berkeley_hills,5453
1,1,417,great,11,berkeley_hills,2276
0,1,197,good,7,thowsand_oaks,1576
1,1,668,good,0,thowsand_oaks,2191
0,1,123,good,1,thowsand_oaks,1485
3,2,875,poor,58,alcatraz_ave,3784.704
3,2,1131,good,6,thowsand_oaks,4957
1,1,339,poor,22,alcatraz_ave,1653.36
2,1,921,good,5,thowsand_oaks,3473
3,2,894,poor,57,alcatraz_ave,3889.2
1,1,594,poor,57,alcatraz_ave,1376.962
2,1,935,great,14,berkeley_hills,3884
0,1,523,poor,38,alcatraz_ave,1504.804
0,1,535,poor,45,alcatraz_ave,1378.45
1,1,585,poor,56,alcatraz_ave,1400.352
1,1,385,poor,28,alcatraz_ave,1612.776
2,1,578,poor,16,alcatraz_ave,3065
1,1,678,good,14,thowsand_oaks,2081
0,1,493,poor,24,alcatraz_ave,1622.912
2,1,874,good,8,thowsand_oaks,3359
1,1,328,great,0,berkeley_hills,2285
0,1,549,poor,59,alcatraz_ave,1288.034
1,1,519,good,1,thowsand_oaks,2014
2,1,554,good,13,thowsand_oaks,2996
0,1,283,great,10,berkeley_hills,2072
1,1,557,good,14,thowsand_oaks,1960
0,1,148,great,6,berkeley_hills,2028
1,1,560,good,9,thowsand_oaks,1992
3,2,824,poor,49,alcatraz_ave,3972.414
0,1,177,good,7,thowsand_oaks,1471
2,1,776,great,2,berkeley_hills,3881
1,1,332,poor,15,alcatraz_ave,1703
1,1,722,great,13,berkeley_hills,2633
2,1,641,great,3,berkeley_hills,3751
3,2,829,poor,16,alcatraz_ave,4508
2,1,647,poor,19,alcatraz_ave,3028
2,1,619,good,5,thowsand_oaks,3208
0,1,188,good,7,thowsand_oaks,1477
3,2,1146,good,14,thowsand_oaks,4836
1,1,338,good,10,thowsand_oaks,1783
3,2,1232,good,0,thowsand_oaks,5124
3,2,1054,great,8,berkeley_hills,5335
2,1,916,great,3,berkeley_hills,3974
0,1,169,poor,24,alcatraz_ave,1350.112
1,1,431,good,13,thowsand_oaks,1775
3,2,840,great,9,berkeley_hills,5130
3,2,926,good,0,thowsand_oaks,4820
3,2,1245,great,8,berkeley_hills,5506
2,1,694,poor,41,alcatraz_ave,2753.292
3,2,881,great,0,berkeley_hills,5199
3,2,1199,poor,62,alcatraz_ave,4046.888
2,1,913,great,12,berkeley_hills,3901
0,1,409,poor,60,alcatraz_ave,1094.8
1,1,627,great,13,berkeley_hills,2505
1,1,510,great,10,berkeley_hills,2438
3,2,1218,poor,20,alcatraz_ave,4906
2,1,778,poor,34,alcatraz_ave,2971.404
3,2,891,good,12,thowsand_oaks,4644
2,1,587,poor,27,alcatraz_ave,2887.008
3,2,1020,good,4,thowsand_oaks,4825
3,2,1226,good,11,thowsand_oaks,4936
2,1,696,good,10,thowsand_oaks,3182
1,1,486,great,4,berkeley_hills,2412
1,1,426,good,12,thowsand_oaks,1810
2,1,845,poor,32,alcatraz_ave,3046.096
1,1,689,good,5,thowsand_oaks,2089
2,1,918,great,10,berkeley_hills,3929
3,2,1104,poor,43,alcatraz_ave,4362.642
3,2,1182,good,11,thowsand_oaks,4944
1,1,461,good,2,thowsand_oaks,1965
0,1,461,good,1,thowsand_oaks,1819
3,2,1206,good,2,thowsand_oaks,5015
0,1,237,poor,21,alcatraz_ave,1406.182
1,1,451,poor,41,alcatraz_ave,1456.16
2,1,903,poor,26,alcatraz_ave,3154.684
2,1,560,good,5,thowsand_oaks,3089
1,1,406,poor,55,alcatraz_ave,1299.21
0,1,547,poor,29,alcatraz_ave,1611.462
1,1,533,good,1,thowsand_oaks,2000
1,1,588,poor,50,alcatraz_ave,1525.62
1,1,471,poor,53,northwest,1354.3
3,2,1066,great,8,east_elmwood,5301
1,1,503,poor,17,northwest,1860
3,2,1024,good,14,west_welmwood,4704
0,1,323,poor,59,northwest,1039.094
1,1,687,poor,61,northwest,1483.488
3,2,995,good,2,west_welmwood,4861
0,1,357,good,3,west_welmwood,1701
2,1,723,poor,15,northwest,3170
3,2,841,good,11,west_welmwood,4609
0,1,276,great,4,east_elmwood,2104
3,2,1077,poor,62,northwest,3979.104
0,1,304,good,0,west_welmwood,1683
3,2,990,good,6,west_welmwood,4820
3,2,863,good,12,west_welmwood,4600
0,1,119,poor,25,northwest,1251.36
0,1,234,good,12,west_welmwood,1492
0,1,157,good,1,west_welmwood,1536
0,1,524,great,10,east_elmwood,2358
0,1,502,poor,47,northwest,1358.456
1,1,449,poor,51,northwest,1380.736
2,1,592,good,12,west_welmwood,3074
1,1,387,good,11,west_welmwood,1813
2,1,873,good,3,west_welmwood,3435
3,2,827,good,0,west_welmwood,4632
1,1,593,poor,63,northwest,1375.57
1,1,479,good,2,west_welmwood,1995
2,1,788,good,0,west_welmwood,3396
1,1,737,good,9,west_welmwood,2146
1,1,467,good,2,west_welmwood,1979
0,1,424,good,1,west_welmwood,1813
1,1,471,great,5,east_elmwood,2402
1,1,547,good,5,west_welmwood,2040
1,1,328,poor,35,northwest,1466.64
0,1,154,good,9,west_welmwood,1432
2,1,701,poor,31,northwest,2936.934
3,2,1169,poor,31,northwest,4653.324
3,2,1024,good,1,west_welmwood,4856
1,1,633,great,12,east_elmwood,2550
0,1,501,good,10,west_welmwood,1825
2,1,771,good,0,west_welmwood,3340
1,1,730,poor,59,northwest,1513.002
0,1,545,good,0,west_welmwood,1980
2,1,667,great,9,east_elmwood,3647
0,1,513,good,10,west_welmwood,1779
3,2,1152,good,12,west_welmwood,4870
0,1,333,good,2,west_welmwood,1748
2,1,919,good,2,west_welmwood,3450
1,1,372,poor,64,northwest,1150.032
1,1,671,poor,35,northwest,1768.31
0,1,319,good,0,west_welmwood,1680
3,2,867,poor,63,northwest,3710.84
0,1,320,good,12,west_welmwood,1594
1,1,594,great,8,east_elmwood,2484
2,1,882,good,14,west_welmwood,3389
3,2,1062,poor,56,northwest,4059.072
3,2,823,poor,59,northwest,3730.412
2,1,874,good,6,west_welmwood,3450
2,1,687,poor,30,northwest,2888.06
2,1,621,good,3,west_welmwood,3150
2,1,705,great,2,east_elmwood,3812
1,1,658,poor,41,northwest,1667.878
1,1,314,poor,58,northwest,1118.964
2,1,831,good,2,west_welmwood,3439
0,1,290,poor,59,northwest,984.696
0,1,398,poor,31,northwest,1466.022
