match_id,date,venue,team1,team2,stage,toss_winner,toss_decision,first_ings_score,first_ings_wkts,second_ings_score,second_ings_wkts,match_winner,won_by,margin,player_of_the_match,top_scorer,highscore,best_bowling,best_bowling_figure
37,"April 24,2022","Wankhede Stadium, Mumbai",Lucknow,Mumbai,Group,Mumbai,Field,168,6,132,8,Lucknow,Runs,36,K L Rahul,KL Rahul,103,Krunal Pandya,3--19
38,"April 25,2022","Wankhede Stadium, Mumbai",Chennai,Punjab,Group,Chennai,Field,187,4,176,6,Punjab,Runs,11,Shikhar Dhawan,Shikhar Dhawan,88,Kagiso Rabada,2--23
39,"April 26,2022","Maharashtra Cricket Association Stadium,Pune",Banglore,Rajasthan,Group,Banglore,Field,144,8,115,10,Rajasthan,Runs,29,Riyan Parag,Riyan Parag,56,Kuldeep Sen,4--20
40,"April 27,2022","Wankhede Stadium, Mumbai",Gujarat,Hyderabad,Group,Gujarat,Field,195,6,199,5,Gujarat,Wickets,5,Umran Malik,W. Saha,68,Umran Malik,5--25
41,"April 28,2022","Wankhede Stadium, Mumbai",Delhi,Kolkata,Group,Delhi,Field,146,9,150,6,Delhi,Wickets,4,Kuldeep Yadav,Nitish Rana,57,Kuldeep Yadav,4--14
42,"April 29,2022","Maharashtra Cricket Association Stadium,Pune",Lucknow,Punjab,Group,Punjab,Field,153,8,133,8,Lucknow,Runs,20,Krunal Pandya,Quinton de Kock,46,Kagiso Rabada,4--38
43,"April 30,2022","Brabourne Stadium, Mumbai",Banglore,Gujarat,Group,Banglore,Bat,170,6,174,4,Gujarat,Wickets,6,Rahul Tewatia,Virat Kohli,58,Pradeep Sangwan,2--19
44,"April 30,2022","Dr DY Patil Sports Academy, Mumbai",Mumbai,Rajasthan,Group,Mumbai,Field,158,6,161,5,Mumbai,Wickets,5,Suruakumar Yadav,Jos Buttler,67,Rilley Meredith,2--24
45,"May 1,2022","Wankhede Stadium, Mumbai",Delhi,Lucknow,Group,Lucknow,Bat,195,3,189,7,Lucknow,Runs,6,Mohsin Khan,KL Rahul,77,Mohsin Khan,4--16
46,"May 1,2022","Maharashtra Cricket Association Stadium,Pune",Chennai,Hyderabad,Group,Hyderabad,Field,202,2,189,6,Chennai,Runs,13,,Ruturaj Gaikwad,99,Mukesh Choudhary,4--46
