age_of_driver,car_age,region,number_of_claims
28,4,Rural,0
30,5,Urban,0
24,5,Rural,1
21,6,Suburban,0
40,3,Rural,0
48,8,Rural,0
47,1,Urban,0
23,4,Suburban,0
41,2,Urban,1
29,9,Rural,1
18,7,Rural,0
29,4,Suburban,1
26,1,Rural,1
38,8,Urban,1
28,14,Suburban,2
40,2,Rural,0
29,3,Urban,1
23,3,Urban,1
47,13,Suburban,1
46,11,Rural,0
33,13,Urban,0
26,4,Suburban,1
20,1,Urban,0
45,10,Rural,0
37,6,Urban,1
43,2,Rural,0
41,5,Urban,0
39,4,Rural,0
37,10,Urban,0
32,10,Urban,0
38,9,Suburban,2
39,1,Rural,0
47,5,Urban,0
21,9,Suburban,0
21,4,Urban,3
25,5,Suburban,0
27,7,Urban,0
27,4,Suburban,2
27,4,Rural,2
41,2,Urban,1
21,11,Rural,1
32,2,Rural,1
44,1,Suburban,1
36,14,Rural,0
30,3,Suburban,0
21,0,Suburban,1
49,11,Suburban,2
27,1,Suburban,1
28,9,Suburban,0
45,1,Urban,0
31,13,Urban,2
25,6,Rural,3
25,9,Urban,1
47,8,Suburban,1
39,13,Suburban,0
19,6,Urban,2
30,3,Rural,0
20,0,Rural,3
20,7,Urban,2
42,10,Suburban,0
19,3,Suburban,0
23,10,Rural,3
26,14,Urban,0
49,10,Suburban,0
22,13,Rural,3
18,2,Rural,0
29,5,Urban,0
20,9,Rural,0
23,7,Suburban,1
48,14,Rural,0
39,3,Rural,0
48,4,Rural,0
34,7,Urban,0
48,6,Suburban,1
26,7,Rural,1
47,3,Urban,0
19,6,Rural,4
35,9,Suburban,0
34,3,Rural,0
21,13,Urban,1
42,7,Rural,1
45,1,Rural,0
26,11,Rural,1
38,3,Urban,1
22,13,Rural,1
34,10,Rural,0
43,7,Urban,0
21,8,Urban,2
25,11,Suburban,2
46,12,Urban,0
21,8,Rural,0
36,4,Rural,2
48,5,Urban,1
47,3,Suburban,0
35,6,Urban,2
19,9,Suburban,1
36,13,Urban,0
35,6,Suburban,1
47,11,Suburban,1
38,14,Rural,1
47,2,Suburban,0
20,9,Rural,2
23,12,Urban,2
23,3,Urban,3
30,5,Urban,0
30,7,Urban,0
39,13,Urban,2
47,14,Rural,0
20,11,Urban,0
33,9,Suburban,0
45,11,Rural,0
39,0,Suburban,0
25,12,Rural,1
25,11,Suburban,1
29,7,Rural,0
40,11,Urban,0
48,1,Rural,0
35,2,Rural,1
24,5,Suburban,1
25,12,Rural,0
36,0,Rural,0
46,5,Urban,0
29,8,Suburban,1
37,9,Rural,0
35,8,Suburban,0
27,2,Rural,1
47,11,Rural,0
32,12,Suburban,0
39,5,Urban,1
27,3,Rural,2
43,1,Rural,0
36,7,Rural,1
18,3,Suburban,1
45,10,Urban,0
27,8,Rural,0
46,5,Rural,0
29,12,Rural,0
35,10,Suburban,0
27,5,Suburban,1
44,14,Suburban,1
18,1,Suburban,0
40,12,Urban,0
49,11,Suburban,2
34,9,Suburban,0
28,7,Rural,0
22,11,Suburban,2
48,10,Urban,0
42,13,Urban,0
38,2,Rural,2
49,1,Urban,0
21,14,Suburban,2
37,0,Suburban,1
26,1,Urban,5
42,0,Urban,2
45,1,Suburban,1
47,1,Rural,1
45,12,Suburban,1
32,6,Rural,2
41,8,Rural,0
18,8,Urban,0
37,13,Rural,0
26,10,Suburban,0
25,3,Suburban,3
41,2,Urban,0
31,0,Rural,0
44,7,Suburban,1
35,4,Rural,1
42,6,Suburban,0
38,0,Suburban,2
41,5,Suburban,0
18,3,Suburban,0
29,3,Urban,0
46,9,Urban,0
22,12,Rural,1
43,13,Rural,0
18,10,Urban,0
28,4,Suburban,0
32,9,Rural,0
40,0,Rural,1
46,6,Urban,0
38,5,Rural,0
36,14,Urban,2
22,3,Suburban,1
40,0,Rural,1
21,0,Suburban,2
44,1,Suburban,0
37,2,Urban,0
25,0,Suburban,0
26,11,Urban,0
47,11,Urban,1
31,2,Rural,1
23,2,Suburban,0
18,9,Urban,0
26,6,Rural,1
33,12,Urban,0
33,7,Suburban,1
39,11,Suburban,1
29,8,Rural,2
22,9,Rural,2
25,10,Rural,0
46,8,Rural,0
31,12,Rural,2
44,13,Suburban,0
28,2,Rural,0
38,14,Rural,0
32,14,Rural,1
35,4,Rural,1
45,7,Suburban,1
37,7,Suburban,1
21,12,Urban,3
27,11,Rural,1
36,5,Rural,0
39,11,Suburban,1
20,12,Suburban,1
37,13,Suburban,0
48,7,Rural,0
39,11,Urban,1
44,13,Urban,0
29,14,Suburban,1
41,13,Suburban,0
46,14,Suburban,0
46,2,Suburban,0
36,4,Urban,2
31,12,Urban,0
41,1,Suburban,2
19,1,Urban,0
24,1,Suburban,0
28,7,Urban,1
39,9,Rural,0
34,0,Rural,0
48,9,Urban,0
45,10,Suburban,0
34,0,Urban,0
44,2,Suburban,1
46,1,Suburban,0
21,4,Suburban,1
44,6,Suburban,0
35,0,Urban,0
28,6,Urban,0
27,12,Rural,1
30,6,Suburban,1
31,10,Rural,0
43,2,Urban,1
24,8,Urban,1
24,6,Suburban,0
25,6,Urban,1
26,5,Suburban,0
31,2,Rural,0
42,5,Suburban,0
25,0,Urban,2
34,10,Urban,1
42,12,Urban,0
40,3,Rural,2
42,9,Suburban,2
33,9,Rural,1
43,7,Urban,0
26,11,Suburban,0
21,11,Rural,0
24,0,Suburban,0
35,10,Urban,0
25,4,Rural,0
38,1,Suburban,0
43,3,Suburban,2
20,5,Urban,0
46,14,Urban,0
34,7,Urban,1
42,13,Rural,0
36,6,Rural,1
31,11,Suburban,1
41,14,Suburban,0
42,11,Rural,0
22,2,Suburban,1
22,13,Rural,0
30,12,Suburban,1
35,7,Rural,0
41,3,Suburban,1
48,4,Suburban,1
40,9,Rural,2
43,7,Urban,0
38,0,Rural,0
19,0,Rural,1
23,1,Urban,0
43,8,Suburban,0
41,3,Urban,1
45,5,Urban,1
47,14,Urban,1
19,10,Suburban,2
37,0,Rural,0
39,1,Urban,1
41,10,Suburban,0
37,1,Suburban,0
40,3,Rural,0
40,7,Rural,0
25,9,Urban,0
27,13,Suburban,2
35,3,Rural,0
27,7,Urban,0
40,0,Suburban,1
18,2,Suburban,2
37,4,Rural,2
42,13,Suburban,1
22,10,Suburban,1
35,4,Rural,0
38,6,Suburban,0
39,0,Suburban,0
34,1,Urban,0
21,7,Suburban,1
48,6,Rural,0
28,5,Suburban,2
19,5,Rural,1
38,7,Rural,1
22,11,Suburban,0
22,3,Rural,0
34,14,Urban,1
34,11,Rural,2
33,6,Urban,1
28,8,Rural,2
31,8,Suburban,2
26,13,Rural,0
48,12,Rural,0
45,2,Rural,0
29,10,Urban,0
49,14,Urban,1
49,1,Urban,0
38,12,Urban,2
24,0,Urban,1
27,8,Suburban,1
46,11,Rural,0
45,7,Rural,1
33,12,Suburban,0
21,7,Suburban,2
37,12,Suburban,1
30,0,Suburban,0
36,4,Urban,1
35,11,Rural,1
28,11,Suburban,1
20,13,Suburban,1
19,8,Rural,1
29,0,Suburban,0
21,4,Urban,3
30,13,Urban,3
22,12,Urban,0
44,13,Suburban,0
19,5,Rural,1
35,13,Suburban,0
18,7,Rural,0
25,2,Urban,1
42,4,Urban,2
44,14,Rural,1
22,12,Suburban,0
21,9,Suburban,2
23,7,Suburban,0
24,5,Urban,0
21,0,Suburban,0
20,4,Rural,1
43,9,Suburban,0
26,4,Suburban,1
46,0,Rural,1
19,2,Rural,1
46,5,Urban,0
22,14,Urban,0
44,5,Suburban,2
18,14,Suburban,1
42,3,Urban,0
31,0,Suburban,0
37,0,Suburban,1
27,1,Rural,1
39,9,Suburban,1
23,9,Rural,0
19,2,Urban,1
25,1,Suburban,0
47,0,Rural,1
48,1,Rural,1
26,12,Rural,4
40,6,Rural,1
38,12,Suburban,0
25,3,Urban,1
21,4,Rural,0
39,3,Urban,3
45,6,Rural,0
30,4,Rural,2
21,14,Rural,1
24,2,Urban,1
38,3,Urban,0
25,6,Urban,1
37,12,Suburban,1
49,3,Urban,0
18,14,Suburban,1
23,13,Suburban,1
45,3,Urban,1
29,12,Rural,0
48,8,Rural,1
27,1,Suburban,1
37,3,Rural,0
25,13,Rural,1
39,11,Suburban,2
23,3,Urban,0
46,1,Suburban,1
26,5,Urban,2
29,3,Urban,1
32,6,Suburban,0
18,11,Rural,0
26,4,Urban,1
37,8,Suburban,0
24,5,Suburban,1
43,7,Suburban,0
28,10,Urban,0
37,10,Rural,1
20,13,Rural,2
45,1,Suburban,0
41,13,Urban,0
18,13,Rural,0
37,10,Suburban,1
44,8,Rural,1
32,2,Rural,0
18,0,Urban,0
37,0,Suburban,1
24,4,Rural,0
19,2,Rural,1
30,11,Urban,2
45,13,Urban,4
43,1,Rural,1
36,11,Urban,1
31,2,Urban,1
27,2,Suburban,1
22,3,Suburban,0
43,4,Rural,1
47,10,Rural,0
45,12,Rural,0
35,14,Urban,1
21,7,Suburban,3
20,5,Rural,0
38,13,Suburban,2
31,1,Urban,1
43,10,Suburban,0
33,3,Urban,0
41,12,Rural,0
22,1,Urban,1
27,0,Urban,1
48,1,Urban,0
22,4,Urban,0
35,10,Rural,1
36,10,Suburban,1
31,0,Rural,1
48,14,Rural,2
31,12,Urban,0
41,10,Rural,1
20,2,Urban,0
21,12,Suburban,2
27,1,Urban,1
44,13,Suburban,1
41,3,Rural,1
44,1,Urban,2
40,4,Suburban,0
40,7,Rural,0
30,5,Suburban,1
33,6,Urban,0
20,9,Suburban,1
44,2,Suburban,2
37,13,Suburban,0
24,5,Rural,0
32,12,Suburban,1
34,10,Suburban,1
47,2,Suburban,0
46,2,Suburban,0
33,13,Urban,1
44,1,Urban,0
26,3,Rural,1
18,8,Suburban,1
28,3,Rural,1
29,0,Suburban,0
31,7,Urban,0
25,12,Suburban,3
48,3,Rural,0
24,13,Suburban,3
31,8,Urban,1
39,2,Rural,2
48,4,Suburban,0
33,3,Urban,1
27,1,Suburban,1
24,12,Urban,1
39,6,Rural,1
29,10,Rural,0
36,10,Suburban,0
25,5,Urban,0
46,10,Rural,0
19,8,Suburban,0
27,11,Suburban,0
20,4,Suburban,2
36,3,Urban,0
46,6,Suburban,0
32,5,Urban,0
23,3,Suburban,0
45,14,Urban,1
40,7,Suburban,1
22,8,Suburban,1
49,8,Urban,0
47,10,Rural,1
36,3,Rural,0
46,13,Rural,1
32,7,Urban,1
47,8,Rural,1
36,5,Suburban,0
19,7,Urban,2
30,2,Rural,0
18,7,Suburban,0
27,12,Suburban,1
34,8,Urban,0
20,0,Rural,1
26,12,Suburban,1
37,7,Rural,1
47,4,Suburban,3
28,8,Suburban,1
34,14,Urban,0
44,4,Rural,0
45,4,Suburban,3
42,10,Rural,0
42,0,Rural,0
19,4,Rural,0
18,10,Urban,0
23,8,Suburban,0
42,0,Rural,1
20,14,Urban,1
33,0,Rural,3
21,14,Urban,3
46,4,Rural,1
32,7,Rural,0
23,12,Rural,1
29,3,Urban,1
37,7,Urban,0
42,7,Suburban,0
24,2,Suburban,0
38,11,Urban,0
24,13,Suburban,0
46,2,Urban,0
37,1,Urban,0
24,7,Urban,0
20,11,Suburban,1
46,13,Rural,2
46,0,Suburban,0
24,7,Rural,1
23,14,Suburban,1
45,5,Rural,0
23,9,Rural,0
31,7,Urban,0
27,1,Suburban,1
22,1,Rural,0
40,2,Suburban,0
31,12,Urban,1
39,4,Urban,0
45,1,Rural,0
49,4,Urban,0
35,5,Suburban,0
21,8,Urban,0
31,12,Urban,0
37,2,Urban,0
44,1,Urban,0
26,6,Suburban,3
48,3,Suburban,2
43,0,Rural,0
39,3,Urban,0
31,9,Rural,0
23,5,Rural,0
40,1,Suburban,2
34,3,Urban,0
43,7,Urban,0
32,1,Suburban,0
41,1,Suburban,0
23,7,Suburban,1
49,9,Urban,0
19,4,Rural,1
23,13,Rural,1
24,12,Urban,0
30,2,Rural,1
44,11,Urban,1
28,0,Urban,1
45,11,Suburban,0
40,3,Urban,2
32,2,Suburban,0
48,13,Suburban,1
26,4,Rural,0
25,0,Suburban,0
31,0,Rural,0
23,10,Urban,0
33,9,Rural,0
45,11,Rural,0
28,3,Rural,2
21,8,Urban,0
28,3,Urban,0
36,14,Suburban,0
43,0,Urban,1
45,4,Suburban,0
43,4,Urban,0
21,0,Rural,0
47,2,Suburban,0
32,11,Urban,0
36,5,Urban,0
23,5,Urban,2
44,8,Rural,0
22,2,Suburban,1
35,13,Suburban,1
23,13,Suburban,1
49,7,Urban,2
48,12,Suburban,0
42,11,Suburban,1
21,3,Urban,0
23,12,Urban,0
26,6,Urban,0
22,1,Urban,1
44,0,Rural,1
35,2,Rural,0
41,2,Suburban,0
42,14,Rural,1
19,5,Urban,2
36,5,Rural,0
19,1,Urban,0
32,10,Rural,1
35,2,Urban,0
25,11,Suburban,0
39,8,Suburban,1
29,7,Rural,0
32,3,Urban,2
34,7,Suburban,0
38,12,Urban,1
49,13,Rural,0
19,3,Urban,1
35,1,Urban,0
47,0,Rural,0
30,1,Suburban,0
40,0,Rural,3
32,8,Urban,0
40,8,Rural,0
18,10,Rural,0
20,5,Urban,1
37,3,Rural,0
41,10,Suburban,2
46,13,Suburban,1
43,10,Rural,1
32,3,Urban,0
36,1,Rural,1
29,13,Rural,1
38,0,Suburban,0
27,14,Suburban,0
32,6,Urban,1
18,1,Urban,0
30,6,Urban,0
40,9,Rural,0
27,5,Rural,0
36,12,Rural,0
22,13,Rural,1
25,10,Urban,2
21,7,Urban,1
34,0,Urban,0
30,11,Rural,1
23,1,Rural,1
38,4,Urban,0
31,12,Suburban,1
34,9,Urban,0
31,14,Rural,0
36,13,Rural,1
37,13,Urban,0
35,5,Suburban,1
25,1,Suburban,2
44,13,Rural,0
35,6,Rural,1
32,12,Rural,3
47,10,Urban,0
21,5,Rural,1
28,4,Rural,0
38,4,Rural,1
28,4,Suburban,2
19,7,Suburban,0
41,2,Rural,1
38,2,Suburban,1
34,6,Suburban,2
28,5,Suburban,0
36,10,Suburban,1
46,11,Urban,0
44,11,Suburban,1
41,14,Suburban,0
38,11,Suburban,0
34,14,Suburban,0
20,3,Urban,1
24,0,Urban,1
27,8,Rural,0
20,13,Suburban,0
38,8,Suburban,1
30,1,Rural,2
27,8,Urban,2
43,7,Rural,1
46,5,Urban,0
39,7,Rural,0
22,9,Rural,0
44,4,Suburban,2
22,0,Rural,0
27,7,Urban,0
28,14,Urban,0
30,2,Rural,0
26,13,Urban,1
19,3,Rural,0
23,9,Suburban,0
25,5,Suburban,0
18,4,Suburban,3
44,0,Suburban,0
19,11,Rural,1
44,10,Urban,0
21,4,Rural,0
43,5,Urban,0
36,10,Rural,1
42,8,Urban,3
36,1,Urban,0
38,4,Rural,1
48,8,Suburban,1
46,0,Rural,0
26,1,Suburban,0
36,1,Rural,1
43,8,Urban,0
42,9,Suburban,2
