Runs,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
1,4,0,0,25.00,3.00,caught,2,v Bangladesh,Dhaka,18-Jun-15
23,27,3,1,85.18,3.00,lbw,1,v Bangladesh,Dhaka,21-Jun-15
25,35,1,0,71.42,3.00,bowled,1,v Bangladesh,Dhaka,24-Jun-15
11,18,0,0,61.11,4.00,caught,2,v South Africa,Kanpur,11-Oct-15
12,18,0,0,66.66,4.00,run out,1,v South Africa,Indore,14-Oct-15
77,99,5,0,77.77,3.00,caught,2,v South Africa,Rajkot,18-Oct-15
138,140,6,5,98.57,3.00,caught,1,v South Africa,Chennai,22-Oct-15
7,6,0,1,116.66,3.00,caught,2,v South Africa,Mumbai,25-Oct-15
91,97,9,1,93.81,3.00,caught,1,v Australia,Perth,12-Jan-16
59,67,4,0,88.05,3.00,run out,1,v Australia,Brisbane,15-Jan-16
117,117,7,2,100.00,3.00,caught,1,v Australia,Melbourne,17-Jan-16
106,92,11,1,115.21,3.00,caught,2,v Australia,Canberra,20-Jan-16
8,11,1,0,72.72,3.00,caught,2,v Australia,Sydney,23-Jan-16
85,81,9,1,104.93,3.00,not out,2,v New Zealand,Dharamsala,16-Oct-16
9,13,1,0,69.23,3.00,caught,2,v New Zealand,Delhi,20-Oct-16
154,134,16,1,114.92,3.00,not out,2,v New Zealand,Mohali,23-Oct-16
45,51,2,1,88.23,3.00,caught,2,v New Zealand,Ranchi,26-Oct-16
65,76,2,1,85.52,3.00,caught,1,v New Zealand,Visakhapatnam,29-Oct-16
122,105,8,5,116.19,3.00,caught,2,v England,Pune,15-Jan-17
8,5,2,0,160.00,3.00,caught,1,v England,Cuttack,19-Jan-17
55,63,8,0,87.30,3.00,caught,2,v England,Kolkata,22-Jan-17
