Date,Date_YMD,Daily Confirmed,Daily Deceased
28 July 2020,2020-07-28,49631,774
29 July 2020,2020-07-29,52479,775
30 July 2020,2020-07-30,54968,784
31 July 2020,2020-07-31,57486,764
1 August 2020,2020-08-01,55117,854
2 August 2020,2020-08-02,52672,760
3 August 2020,2020-08-03,50488,806
4 August 2020,2020-08-04,51282,849
5 August 2020,2020-08-05,56626,919
6 August 2020,2020-08-06,62170,899
7 August 2020,2020-08-07,61455,936
8 August 2020,2020-08-08,65156,875
9 August 2020,2020-08-09,62117,1013
10 August 2020,2020-08-10,53016,887
11 August 2020,2020-08-11,61252,835
12 August 2020,2020-08-12,67066,950
13 August 2020,2020-08-13,64141,1006
14 August 2020,2020-08-14,65610,989
15 August 2020,2020-08-15,63986,952
16 August 2020,2020-08-16,58096,952
17 August 2020,2020-08-17,54298,880
18 August 2020,2020-08-18,65024,1099
19 August 2020,2020-08-19,69196,979
20 August 2020,2020-08-20,68518,981
21 August 2020,2020-08-21,69029,953
22 August 2020,2020-08-22,70067,918
23 August 2020,2020-08-23,61749,846
24 August 2020,2020-08-24,59696,854
25 August 2020,2020-08-25,66873,1066
26 August 2020,2020-08-26,75995,1017
27 August 2020,2020-08-27,76827,1066
28 August 2020,2020-08-28,76657,1019
29 August 2020,2020-08-29,78479,943
30 August 2020,2020-08-30,79461,960
31 August 2020,2020-08-31,68766,816
1 September 2020,2020-09-01,78168,892
2 September 2020,2020-09-02,82860,913
3 September 2020,2020-09-03,84156,979
4 September 2020,2020-09-04,87115,950
5 September 2020,2020-09-05,90600,916
6 September 2020,2020-09-06,91725,1005
7 September 2020,2020-09-07,75015,1129
8 September 2020,2020-09-08,89855,1107
9 September 2020,2020-09-09,95536,1168
10 September 2020,2020-09-10,96762,1213
11 September 2020,2020-09-11,97655,1202
12 September 2020,2020-09-12,94414,1111
13 September 2020,2020-09-13,93220,1140
14 September 2020,2020-09-14,81913,1054
15 September 2020,2020-09-15,91098,1281
16 September 2020,2020-09-16,97860,1140
17 September 2020,2020-09-17,96787,1175
18 September 2020,2020-09-18,92973,1221
19 September 2020,2020-09-19,92574,1149
20 September 2020,2020-09-20,87395,1135
21 September 2020,2020-09-21,74493,1056
22 September 2020,2020-09-22,83362,1085
23 September 2020,2020-09-23,86703,1123
24 September 2020,2020-09-24,85921,1144
25 September 2020,2020-09-25,85717,1093
26 September 2020,2020-09-26,88759,1124
27 September 2020,2020-09-27,82770,1040
28 September 2020,2020-09-28,69669,775
29 September 2020,2020-09-29,80500,1178
30 September 2020,2020-09-30,86748,1179
1 October 2020,2020-10-01,81784,1099
2 October 2020,2020-10-02,79883,1068
3 October 2020,2020-10-03,75479,937
4 October 2020,2020-10-04,74770,903
5 October 2020,2020-10-05,60130,886
6 October 2020,2020-10-06,71869,990
7 October 2020,2020-10-07,78809,963
8 October 2020,2020-10-08,70797,967
9 October 2020,2020-10-09,73305,929
10 October 2020,2020-10-10,74418,921
11 October 2020,2020-10-11,67789,813
12 October 2020,2020-10-12,54262,710
13 October 2020,2020-10-13,63717,727
14 October 2020,2020-10-14,67811,690
15 October 2020,2020-10-15,63441,882
16 October 2020,2020-10-16,62304,840
17 October 2020,2020-10-17,61893,1032
18 October 2020,2020-10-18,56519,582
19 October 2020,2020-10-19,45506,589
20 October 2020,2020-10-20,54348,714
21 October 2020,2020-10-21,56264,701
22 October 2020,2020-10-22,54371,686
23 October 2020,2020-10-23,53931,655
24 October 2020,2020-10-24,50366,578
25 October 2020,2020-10-25,45922,483
26 October 2020,2020-10-26,36019,485
27 October 2020,2020-10-27,43036,511
28 October 2020,2020-10-28,50188,515
29 October 2020,2020-10-29,48765,562
30 October 2020,2020-10-30,48117,550
31 October 2020,2020-10-31,47228,469
1 November 2020,2020-11-01,45928,491
2 November 2020,2020-11-02,37592,498
3 November 2020,2020-11-03,46027,510
4 November 2020,2020-11-04,50465,707
5 November 2020,2020-11-05,47628,672
6 November 2020,2020-11-06,50017,577
7 November 2020,2020-11-07,46153,557
8 November 2020,2020-11-08,46707,491
9 November 2020,2020-11-09,37119,450
10 November 2020,2020-11-10,44724,511
11 November 2020,2020-11-11,48285,550
12 November 2020,2020-11-12,44585,544
13 November 2020,2020-11-13,44620,517
14 November 2020,2020-11-14,41692,450
15 November 2020,2020-11-15,30681,434
16 November 2020,2020-11-16,28609,451
17 November 2020,2020-11-17,38548,472
18 November 2020,2020-11-18,45366,586
19 November 2020,2020-11-19,46185,582
20 November 2020,2020-11-20,46283,564
21 November 2020,2020-11-21,45301,499
22 November 2020,2020-11-22,44404,510
23 November 2020,2020-11-23,37441,481
24 November 2020,2020-11-24,44245,489
25 November 2020,2020-11-25,44699,518
26 November 2020,2020-11-26,43174,491
27 November 2020,2020-11-27,41353,486
28 November 2020,2020-11-28,41815,495
29 November 2020,2020-11-29,39036,444
30 November 2020,2020-11-30,31179,482
1 December 2020,2020-12-01,36474,501
2 December 2020,2020-12-02,35506,526
3 December 2020,2020-12-03,36574,541
4 December 2020,2020-12-04,36711,511
5 December 2020,2020-12-05,36010,482
6 December 2020,2020-12-06,33178,390
7 December 2020,2020-12-07,26227,386
8 December 2020,2020-12-08,32083,402
9 December 2020,2020-12-09,31637,413
10 December 2020,2020-12-10,29411,411
11 December 2020,2020-12-11,29961,442
12 December 2020,2020-12-12,30354,391
13 December 2020,2020-12-13,27336,338
14 December 2020,2020-12-14,21941,354
15 December 2020,2020-12-15,26251,384
16 December 2020,2020-12-16,18172,356
17 December 2020,2020-12-17,26754,342
18 December 2020,2020-12-18,26991,342
19 December 2020,2020-12-19,26834,342
20 December 2020,2020-12-20,24622,332
21 December 2020,2020-12-21,19147,302
22 December 2020,2020-12-22,23880,329
23 December 2020,2020-12-23,24716,315
24 December 2020,2020-12-24,23444,337
25 December 2020,2020-12-25,22349,251
26 December 2020,2020-12-26,18575,280
27 December 2020,2020-12-27,20333,281
28 December 2020,2020-12-28,16072,250
29 December 2020,2020-12-29,20542,285
30 December 2020,2020-12-30,21945,299
31 December 2020,2020-12-31,19026,244
1 January 2021,2021-01-01,20159,237
2 January 2021,2021-01-02,18144,216
3 January 2021,2021-01-03,16678,215
4 January 2021,2021-01-04,16278,200
5 January 2021,2021-01-05,17909,265
6 January 2021,2021-01-06,20472,222
7 January 2021,2021-01-07,18123,233
8 January 2021,2021-01-08,18453,229
9 January 2021,2021-01-09,18820,213
10 January 2021,2021-01-10,16086,150
11 January 2021,2021-01-11,12481,166
12 January 2021,2021-01-12,15903,200
13 January 2021,2021-01-13,17015,201
14 January 2021,2021-01-14,15677,189
15 January 2021,2021-01-15,15155,176
16 January 2021,2021-01-16,15050,181
17 January 2021,2021-01-17,13962,145
18 January 2021,2021-01-18,9987,137
19 January 2021,2021-01-19,13787,162
20 January 2021,2021-01-20,15279,152
21 January 2021,2021-01-21,14495,161
22 January 2021,2021-01-22,14323,153
23 January 2021,2021-01-23,14896,156
24 January 2021,2021-01-24,13232,131
25 January 2021,2021-01-25,9098,116
26 January 2021,2021-01-26,12733,138
27 January 2021,2021-01-27,11556,123
28 January 2021,2021-01-28,18912,162
29 January 2021,2021-01-29,13054,137
30 January 2021,2021-01-30,13073,128
31 January 2021,2021-01-31,11527,116
1 February 2021,2021-02-01,8579,94
2 February 2021,2021-02-02,11001,113
3 February 2021,2021-02-03,12925,107
4 February 2021,2021-02-04,12401,120
5 February 2021,2021-02-05,11711,95
6 February 2021,2021-02-06,12069,75
7 February 2021,2021-02-07,11786,86
8 February 2021,2021-02-08,8715,78
9 February 2021,2021-02-09,10731,94
10 February 2021,2021-02-10,12539,110
11 February 2021,2021-02-11,9353,85
12 February 2021,2021-02-12,12137,104
13 February 2021,2021-02-13,12198,89
14 February 2021,2021-02-14,11706,91
15 February 2021,2021-02-15,9086,82
16 February 2021,2021-02-16,11592,99
17 February 2021,2021-02-17,12862,100
18 February 2021,2021-02-18,13237,100
19 February 2021,2021-02-19,13916,100
20 February 2021,2021-02-20,13919,89
21 February 2021,2021-02-21,14278,83
22 February 2021,2021-02-22,10494,76
23 February 2021,2021-02-23,13682,103
24 February 2021,2021-02-24,16930,141
25 February 2021,2021-02-25,16599,119
26 February 2021,2021-02-26,16562,114
27 February 2021,2021-02-27,16805,111
28 February 2021,2021-02-28,15614,108
1 March 2021,2021-03-01,12270,92
2 March 2021,2021-03-02,14998,98
3 March 2021,2021-03-03,17425,87
4 March 2021,2021-03-04,16824,113
5 March 2021,2021-03-05,18324,109
6 March 2021,2021-03-06,18724,100
7 March 2021,2021-03-07,18650,97
8 March 2021,2021-03-08,15353,76
9 March 2021,2021-03-09,17873,133
10 March 2021,2021-03-10,22851,125
11 March 2021,2021-03-11,23298,119
12 March 2021,2021-03-12,24845,140
13 March 2021,2021-03-13,25154,159
14 March 2021,2021-03-14,26513,120
15 March 2021,2021-03-15,24437,130
16 March 2021,2021-03-16,28869,187
17 March 2021,2021-03-17,35838,171
18 March 2021,2021-03-18,39687,156
19 March 2021,2021-03-19,40906,188
20 March 2021,2021-03-20,43815,196
21 March 2021,2021-03-21,47009,213
22 March 2021,2021-03-22,40636,197
23 March 2021,2021-03-23,47239,277
24 March 2021,2021-03-24,53419,249
25 March 2021,2021-03-25,59083,257
26 March 2021,2021-03-26,62276,292
27 March 2021,2021-03-27,62632,311
28 March 2021,2021-03-28,68206,295
29 March 2021,2021-03-29,56152,266
30 March 2021,2021-03-30,53237,355
31 March 2021,2021-03-31,72113,458
1 April 2021,2021-04-01,81398,468
2 April 2021,2021-04-02,89023,713
3 April 2021,2021-04-03,92994,514
4 April 2021,2021-04-04,103794,477
5 April 2021,2021-04-05,96563,446
6 April 2021,2021-04-06,115312,630
7 April 2021,2021-04-07,126276,684
8 April 2021,2021-04-08,131878,802
9 April 2021,2021-04-09,144945,773
10 April 2021,2021-04-10,152565,838
11 April 2021,2021-04-11,169914,904
12 April 2021,2021-04-12,160838,880
13 April 2021,2021-04-13,185297,1026
14 April 2021,2021-04-14,199584,1038
15 April 2021,2021-04-15,216828,1184
16 April 2021,2021-04-16,234002,1338
17 April 2021,2021-04-17,260895,1498
18 April 2021,2021-04-18,275063,1620
19 April 2021,2021-04-19,257003,1757
20 April 2021,2021-04-20,294365,2021
21 April 2021,2021-04-21,315752,2101
22 April 2021,2021-04-22,332531,2257
23 April 2021,2021-04-23,345296,2620
24 April 2021,2021-04-24,348996,2761
25 April 2021,2021-04-25,354658,2808
26 April 2021,2021-04-26,319471,2762
27 April 2021,2021-04-27,362913,3286
28 April 2021,2021-04-28,379404,3646
29 April 2021,2021-04-29,386773,3502
30 April 2021,2021-04-30,402014,3525
1 May 2021,2021-05-01,392576,3685
2 May 2021,2021-05-02,370090,3423
3 May 2021,2021-05-03,355769,3439
4 May 2021,2021-05-04,382847,3786
5 May 2021,2021-05-05,412624,3979
6 May 2021,2021-05-06,414280,3923
7 May 2021,2021-05-07,406901,4233
8 May 2021,2021-05-08,403808,4092
9 May 2021,2021-05-09,366455,3749
10 May 2021,2021-05-10,329491,3879
11 May 2021,2021-05-11,348555,4198
12 May 2021,2021-05-12,362632,4128
13 May 2021,2021-05-13,343005,4000
14 May 2021,2021-05-14,326256,3889
15 May 2021,2021-05-15,310757,4077
16 May 2021,2021-05-16,281837,4098
17 May 2021,2021-05-17,263021,4334
18 May 2021,2021-05-18,267246,4529
19 May 2021,2021-05-19,276187,3877
20 May 2021,2021-05-20,259242,4209
21 May 2021,2021-05-21,257299,4194
22 May 2021,2021-05-22,240897,3739
23 May 2021,2021-05-23,222834,4454
24 May 2021,2021-05-24,195857,3509
25 May 2021,2021-05-25,208992,4160
26 May 2021,2021-05-26,211510,3843
27 May 2021,2021-05-27,186075,3659
28 May 2021,2021-05-28,174083,3611
29 May 2021,2021-05-29,165282,3463
30 May 2021,2021-05-30,153396,3130
31 May 2021,2021-05-31,126883,2783
1 June 2021,2021-06-01,133152,3205
2 June 2021,2021-06-02,134044,2898
3 June 2021,2021-06-03,132424,2717
4 June 2021,2021-06-04,120454,3372
5 June 2021,2021-06-05,114488,2682
6 June 2021,2021-06-06,101209,2444
7 June 2021,2021-06-07,85804,2107
8 June 2021,2021-06-08,92787,2222
9 June 2021,2021-06-09,93883,6139
10 June 2021,2021-06-10,91849,3414
11 June 2021,2021-06-11,84574,3996
12 June 2021,2021-06-12,80525,3300
13 June 2021,2021-06-13,71001,3922
14 June 2021,2021-06-14,60008,2733
15 June 2021,2021-06-15,62215,2540
16 June 2021,2021-06-16,67289,2329
17 June 2021,2021-06-17,62436,1591
18 June 2021,2021-06-18,60765,1645
19 June 2021,2021-06-19,58615,1574
20 June 2021,2021-06-20,52978,1424
21 June 2021,2021-06-21,42683,1167
22 June 2021,2021-06-22,50817,1359
23 June 2021,2021-06-23,54309,1323
24 June 2021,2021-06-24,51659,1328
25 June 2021,2021-06-25,48768,1183
26 June 2021,2021-06-26,49844,1258
27 June 2021,2021-06-27,46523,978
28 June 2021,2021-06-28,37070,907
29 June 2021,2021-06-29,46104,819
30 June 2021,2021-06-30,48606,1002
1 July 2021,2021-07-01,46781,857
2 July 2021,2021-07-02,44187,737
3 July 2021,2021-07-03,43027,950
4 July 2021,2021-07-04,40150,725
5 July 2021,2021-07-05,34026,552
6 July 2021,2021-07-06,43964,930
7 July 2021,2021-07-07,45701,819
8 July 2021,2021-07-08,43504,908
9 July 2021,2021-07-09,42660,1207
10 July 2021,2021-07-10,41494,898
11 July 2021,2021-07-11,37654,720
12 July 2021,2021-07-12,30818,2024
13 July 2021,2021-07-13,40314,625
14 July 2021,2021-07-14,41759,578
15 July 2021,2021-07-15,39071,544
16 July 2021,2021-07-16,38117,560
17 July 2021,2021-07-17,41283,517
18 July 2021,2021-07-18,38330,501
19 July 2021,2021-07-19,29420,372
20 July 2021,2021-07-20,42128,3998
21 July 2021,2021-07-21,41687,510
22 July 2021,2021-07-22,34863,481
23 July 2021,2021-07-23,39501,542
24 July 2021,2021-07-24,40286,541
25 July 2021,2021-07-25,38179,411
26 July 2021,2021-07-26,30820,418
27 July 2021,2021-07-27,42971,641
28 July 2021,2021-07-28,43165,640
29 July 2021,2021-07-29,44671,549
30 July 2021,2021-07-30,41499,598
31 July 2021,2021-07-31,41943,542
1 August 2021,2021-08-01,40629,424
2 August 2021,2021-08-02,30085,420
3 August 2021,2021-08-03,42530,561
4 August 2021,2021-08-04,42797,532
5 August 2021,2021-08-05,45005,465
6 August 2021,2021-08-06,38705,616
7 August 2021,2021-08-07,39068,491
8 August 2021,2021-08-08,36036,447
9 August 2021,2021-08-09,27428,376
10 August 2021,2021-08-10,38376,496
11 August 2021,2021-08-11,41586,491
12 August 2021,2021-08-12,40081,583
13 August 2021,2021-08-13,38761,477
14 August 2021,2021-08-14,36135,491
15 August 2021,2021-08-15,33245,421
16 August 2021,2021-08-16,24696,438
17 August 2021,2021-08-17,35208,440
18 August 2021,2021-08-18,36502,527
19 August 2021,2021-08-19,36600,543
20 August 2021,2021-08-20,34308,376
21 August 2021,2021-08-21,31023,401
22 August 2021,2021-08-22,25420,385
23 August 2021,2021-08-23,24794,357
24 August 2021,2021-08-24,37739,650
25 August 2021,2021-08-25,46129,605
26 August 2021,2021-08-26,44550,493
27 August 2021,2021-08-27,46806,514
28 August 2021,2021-08-28,45064,457
29 August 2021,2021-08-29,43374,527
30 August 2021,2021-08-30,30248,205
31 August 2021,2021-08-31,43073,462
1 September 2021,2021-09-01,45975,507
2 September 2021,2021-09-02,45624,355
3 September 2021,2021-09-03,42667,342
4 September 2021,2021-09-04,42607,309
5 September 2021,2021-09-05,39537,218
6 September 2021,2021-09-06,30164,290
7 September 2021,2021-09-07,38135,368
8 September 2021,2021-09-08,43401,339
9 September 2021,2021-09-09,24151,258
10 September 2021,2021-09-10,37875,310
11 September 2021,2021-09-11,31288,338
12 September 2021,2021-09-12,31441,219
13 September 2021,2021-09-13,24414,340
14 September 2021,2021-09-14,27502,281
15 September 2021,2021-09-15,30355,432
16 September 2021,2021-09-16,34653,318
17 September 2021,2021-09-17,35354,285
18 September 2021,2021-09-18,31130,306
19 September 2021,2021-09-19,30828,296
20 September 2021,2021-09-20,24907,251
21 September 2021,2021-09-21,27338,385
22 September 2021,2021-09-22,32010,280
23 September 2021,2021-09-23,31411,318
24 September 2021,2021-09-24,29565,291
25 September 2021,2021-09-25,28169,259
26 September 2021,2021-09-26,26999,276
27 September 2021,2021-09-27,14907,181
28 September 2021,2021-09-28,21898,375
29 September 2021,2021-09-29,23166,313
30 September 2021,2021-09-30,27285,278
1 October 2021,2021-10-01,23918,233
2 October 2021,2021-10-02,23189,242
3 October 2021,2021-10-03,21644,182
4 October 2021,2021-10-04,17101,263
5 October 2021,2021-10-05,19044,276
6 October 2021,2021-10-06,22605,316
7 October 2021,2021-10-07,21474,277
8 October 2021,2021-10-08,19868,247
9 October 2021,2021-10-09,17941,213
10 October 2021,2021-10-10,19020,193
11 October 2021,2021-10-11,13184,177
12 October 2021,2021-10-12,16023,229
13 October 2021,2021-10-13,19193,249
14 October 2021,2021-10-14,16988,378
15 October 2021,2021-10-15,16003,163
16 October 2021,2021-10-16,14078,146
17 October 2021,2021-10-17,14286,165
18 October 2021,2021-10-18,12339,164
19 October 2021,2021-10-19,14935,199
20 October 2021,2021-10-20,18382,160
21 October 2021,2021-10-21,15774,232
22 October 2021,2021-10-22,16327,666
23 October 2021,2021-10-23,16079,559
24 October 2021,2021-10-24,14654,442
25 October 2021,2021-10-25,11852,357
26 October 2021,2021-10-26,13499,584
27 October 2021,2021-10-27,16351,734
28 October 2021,2021-10-28,14307,805
29 October 2021,2021-10-29,14215,551
30 October 2021,2021-10-30,12940,445
31 October 2021,2021-10-31,12907,251
1 November 2021,2021-11-01,10423,443
2 November 2021,2021-11-02,11903,311
3 November 2021,2021-11-03,12885,461
4 November 2021,2021-11-04,12729,221
5 November 2021,2021-11-05,10929,392
6 November 2021,2021-11-06,10826,526
7 November 2021,2021-11-07,11478,266
8 November 2021,2021-11-08,10126,332
9 November 2021,2021-11-09,11466,460
10 November 2021,2021-11-10,13091,340
11 November 2021,2021-11-11,12516,501
12 November 2021,2021-11-12,11850,555
13 November 2021,2021-11-13,11271,285
14 November 2021,2021-11-14,10229,125
15 November 2021,2021-11-15,8865,197
16 November 2021,2021-11-16,10197,301
17 November 2021,2021-11-17,11919,470
18 November 2021,2021-11-18,11106,459
19 November 2021,2021-11-19,10302,267
20 November 2021,2021-11-20,10488,313
21 November 2021,2021-11-21,8488,249
22 November 2021,2021-11-22,7579,236
23 November 2021,2021-11-23,9283,437
24 November 2021,2021-11-24,9119,396
25 November 2021,2021-11-25,10549,488
26 November 2021,2021-11-26,8318,465
27 November 2021,2021-11-27,8774,621
28 November 2021,2021-11-28,8309,236
29 November 2021,2021-11-29,6990,190
30 November 2021,2021-11-30,8954,267
1 December 2021,2021-12-01,9765,477
2 December 2021,2021-12-02,9216,391
3 December 2021,2021-12-03,8603,415
4 December 2021,2021-12-04,8601,1500
5 December 2021,2021-12-05,8600,1507
6 December 2021,2021-12-06,6822,220
7 December 2021,2021-12-07,8439,195
8 December 2021,2021-12-08,9419,159
9 December 2021,2021-12-09,8402,368
10 December 2021,2021-12-10,7990,393
11 December 2021,2021-12-11,7877,562
12 December 2021,2021-12-12,7350,202
13 December 2021,2021-12-13,5784,252
14 December 2021,2021-12-14,6984,247
15 December 2021,2021-12-15,7974,343
16 December 2021,2021-12-16,7447,391
17 December 2021,2021-12-17,6882,285
18 December 2021,2021-12-18,6098,246
19 December 2021,2021-12-19,6882,247
20 December 2021,2021-12-20,5326,303
21 December 2021,2021-12-21,6317,313
22 December 2021,2021-12-22,7495,326
23 December 2021,2021-12-23,6650,323
24 December 2021,2021-12-24,7189,379
25 December 2021,2021-12-25,6987,361
26 December 2021,2021-12-26,6531,349
27 December 2021,2021-12-27,6358,293
28 December 2021,2021-12-28,9195,302
29 December 2021,2021-12-29,13154,268
30 December 2021,2021-12-30,16764,220
31 December 2021,2021-12-31,22775,406
1 January 2022,2022-01-01,27553,284
2 January 2022,2022-01-02,33750,123
3 January 2022,2022-01-03,37379,124
4 January 2022,2022-01-04,58097,534
5 January 2022,2022-01-05,90928,325
6 January 2022,2022-01-06,117100,302
7 January 2022,2022-01-07,141986,285
8 January 2022,2022-01-08,159632,327
9 January 2022,2022-01-09,179123,146
10 January 2022,2022-01-10,168063,277
11 January 2022,2022-01-11,221068,411
12 January 2022,2022-01-12,221069,411
13 January 2022,2022-01-13,266517,96
14 January 2022,2022-01-14,266518,621
15 January 2022,2022-01-15,271202,314
16 January 2022,2022-01-16,258089,385
17 January 2022,2022-01-17,238018,310
18 January 2022,2022-01-18,282970,441
