Date,Views
21/12/2021,7254
22/12/2021,6883
23/12/2021,7083
24/12/2021,5646
25/12/2021,4812
26/12/2021,5407
27/12/2021,7000
28/12/2021,7581
29/12/2021,7338
30/12/2021,6683
31/12/2021,5033
01/01/2022,4478
02/01/2022,6366
03/01/2022,7498
04/01/2022,7885
05/01/2022,7490
06/01/2022,7419
07/01/2022,6673
08/01/2022,7136
09/01/2022,6668
10/01/2022,8341
11/01/2022,8311
12/01/2022,8201
13/01/2022,7998
14/01/2022,6541
15/01/2022,6314
16/01/2022,6570
17/01/2022,8139
18/01/2022,9194
19/01/2022,7850
20/01/2022,8470
21/01/2022,7760
22/01/2022,6589
23/01/2022,6981
24/01/2022,7667
25/01/2022,7850
26/01/2022,7235
27/01/2022,8079
28/01/2022,8418
29/01/2022,7371
30/01/2022,6842
31/01/2022,8079
01/02/2022,8284
02/02/2022,8603
03/02/2022,7974
04/02/2022,7550
05/02/2022,6811
06/02/2022,6338
07/02/2022,8919
08/02/2022,8066
09/02/2022,8747
10/02/2022,8676
11/02/2022,8088
12/02/2022,7522
13/02/2022,7244
14/02/2022,8524
15/02/2022,9541
16/02/2022,8956
17/02/2022,8860
18/02/2022,8630
19/02/2022,8874
20/02/2022,7805
21/02/2022,10154
22/02/2022,10080
23/02/2022,10327
24/02/2022,8908
25/02/2022,9111
26/02/2022,7669
27/02/2022,7565
28/02/2022,8896
01/03/2022,8476
02/03/2022,8760
03/03/2022,8882
04/03/2022,8696
05/03/2022,8003
06/03/2022,7424
07/03/2022,9560
08/03/2022,9459
09/03/2022,9717
10/03/2022,11486
11/03/2022,9259
12/03/2022,7762
13/03/2022,9137
14/03/2022,10533
15/03/2022,11846
16/03/2022,9961
17/03/2022,9312
18/03/2022,7859
19/03/2022,8860
20/03/2022,8304
21/03/2022,10584
22/03/2022,10210
23/03/2022,9505
24/03/2022,10292
25/03/2022,8940
26/03/2022,7811
27/03/2022,7455
28/03/2022,9282
29/03/2022,10620
30/03/2022,9960
31/03/2022,7643
01/04/2022,8133
02/04/2022,7110
03/04/2022,8519
04/04/2022,10397
05/04/2022,10234
06/04/2022,10225
07/04/2022,10088
08/04/2022,8753
09/04/2022,8117
10/04/2022,8531
11/04/2022,10000
12/04/2022,10190
13/04/2022,9399
14/04/2022,8356
15/04/2022,8283
16/04/2022,9476
17/04/2022,8379
18/04/2022,11347
19/04/2022,12156
20/04/2022,11547
21/04/2022,9988
22/04/2022,9023
23/04/2022,7750
24/04/2022,8883
25/04/2022,11474
26/04/2022,10631
27/04/2022,10667
28/04/2022,9938
29/04/2022,9380
30/04/2022,8514
01/05/2022,7992
02/05/2022,8766
03/05/2022,9249
04/05/2022,9896
05/05/2022,9672
06/05/2022,9113
07/05/2022,8691
08/05/2022,7667
09/05/2022,10288
10/05/2022,11302
11/05/2022,10337
12/05/2022,10709
13/05/2022,9543
14/05/2022,7413
15/05/2022,7249
16/05/2022,10017
17/05/2022,10039
18/05/2022,10967
19/05/2022,11589
20/05/2022,9685
21/05/2022,8536
22/05/2022,8024
23/05/2022,10571
24/05/2022,10772
25/05/2022,10437
26/05/2022,10652
27/05/2022,9173
28/05/2022,8149
29/05/2022,8498
30/05/2022,10975
31/05/2022,10500
01/06/2022,9662
02/06/2022,9711
03/06/2022,8604
04/06/2022,8403
05/06/2022,8227
06/06/2022,9251
07/06/2022,9330
08/06/2022,9823
09/06/2022,10067
10/06/2022,8874
11/06/2022,7361
12/06/2022,8519
13/06/2022,10234
14/06/2022,10921
15/06/2022,10758
16/06/2022,10534
17/06/2022,10471
18/06/2022,9079
19/06/2022,10163
20/06/2022,11733
21/06/2022,11426
22/06/2022,11154
23/06/2022,10382
24/06/2022,9555
25/06/2022,8502
26/06/2022,8368
